Name,Team,G,PA,HR,BB%,K%,EV,HardHit%,ISO,playerid,PA/HR
Nico Hoerner,CHC,44,170,0,10.00%,14.70%,87,34.40%,0.067,21479,0.00
Tyler Wade,NYY,103,145,0,11.00%,25.50%,82.2,13.20%,0.055,15730,0.00
Yonny Hernandez,TEX,43,166,0,10.20%,19.30%,83.1,15.90%,0.035,19432,0.00
Shogo Akiyama,CIN,88,183,0,7.70%,21.90%,86.5,31.20%,0.049,27461,0.00
Jarrod Dyson,- - -,102,149,0,6.70%,22.10%,83.5,27.40%,0.081,4866,0.00
Magneuris Sierra,MIA,123,225,0,6.70%,22.20%,82.3,18.80%,0.038,17023,0.00
Mike Zunino,TBR,109,375,33,9.10%,35.20%,90.7,46.50%,0.342,13265,11.36
Fernando Tatis Jr.,SDP,130,546,42,11.40%,28.00%,93.9,55.60%,0.328,19709,13.00
Brandon Belt,SFG,97,381,29,12.60%,27.00%,89.2,44.80%,0.323,10264,13.14
Byron Buxton,MIN,61,254,19,5.10%,24.40%,92.5,53.20%,0.34,14161,13.37
Patrick Wisdom,CHC,106,375,28,8.50%,40.80%,91.2,51.10%,0.287,13602,13.39
Salvador Perez,KCR,161,665,48,4.20%,25.60%,93,55.90%,0.271,7304,13.85
Shohei Ohtani,LAA,158,639,46,15.00%,29.60%,93.6,53.40%,0.335,19755,13.89
Vladimir Guerrero Jr.,TOR,161,698,48,12.30%,15.80%,95.1,55.20%,0.29,19611,14.54
Adam Duvall,- - -,146,555,38,6.30%,31.40%,89.8,43.90%,0.263,10950,14.61
Kyle Schwarber,- - -,113,471,32,13.60%,27.00%,92.3,52.20%,0.288,16478,14.72
Joey Votto,CIN,129,533,36,14.40%,23.80%,92.9,53.20%,0.297,4314,14.81
Ronald Acuna Jr.,ATL,82,360,24,13.60%,23.60%,93.8,53.90%,0.313,18401,15.00
Seth Brown,OAK,111,307,20,7.50%,29.00%,88.9,40.20%,0.267,18171,15.35
Franmil Reyes,CLE,115,466,30,9.20%,32.00%,92,48.50%,0.268,14566,15.53
George Springer,TOR,78,342,22,10.80%,23.10%,89.4,41.40%,0.291,12856,15.55
Brandon Lowe,TBR,149,615,39,11.10%,27.20%,89.3,43.10%,0.277,18882,15.77
Tyler O'Neill,STL,138,537,34,7.10%,31.30%,93,52.20%,0.274,15711,15.79
Manny Pina,MIL,75,208,13,10.60%,18.30%,86.1,32.20%,0.25,2829,16.00
Marcus Semien,TOR,162,724,45,9.10%,20.20%,89.7,41.30%,0.273,12533,16.09
Joey Gallo,- - -,153,616,38,18.00%,34.60%,91.5,45.50%,0.259,14128,16.21
Aaron Judge,NYY,148,633,39,11.80%,25.00%,95.8,57.90%,0.256,15640,16.23
Gavin Sheets,CHW,54,179,11,8.90%,22.30%,90.4,44.60%,0.256,19901,16.27
Yasmani Grandal,CHW,93,375,23,23.20%,21.90%,93.1,53.20%,0.28,11368,16.30
Rhys Hoskins,PHI,107,443,27,10.60%,24.40%,91.2,46.30%,0.283,16472,16.41
Max Muncy,LAD,144,592,36,14.00%,20.30%,91.2,46.30%,0.278,13301,16.44
Giancarlo Stanton,NYY,139,579,35,10.90%,27.10%,95.1,55.60%,0.243,4949,16.54
Sam Hilliard,COL,81,238,14,9.70%,36.60%,89.8,38.60%,0.248,17954,17.00
Bryce Harper,PHI,141,599,35,16.70%,22.40%,92.5,49.20%,0.305,11579,17.11
Nick Castellanos,CIN,138,585,34,7.00%,20.70%,89.8,46.90%,0.267,11737,17.21
Pete Alonso,NYM,152,637,37,9.40%,19.90%,91,47.30%,0.257,19251,17.22
Matt Olson,OAK,156,673,39,13.10%,16.80%,91.6,48.40%,0.269,14344,17.26
Eric Haase,DET,98,381,22,6.80%,31.20%,90.9,47.90%,0.228,14111,17.32
Albert Pujols,- - -,109,296,17,4.70%,15.20%,90.3,39.20%,0.196,1177,17.41
Bobby Bradley,CLE,74,279,16,9.00%,35.50%,89,40.30%,0.237,17278,17.44
Rafael Devers,BOS,156,664,38,9.30%,21.50%,92.9,51.50%,0.259,17350,17.47
Jordan Luplow,- - -,62,193,11,14.50%,29.50%,86.8,32.10%,0.252,16424,17.55
Javier Baez,- - -,138,547,31,5.10%,33.60%,90.1,45.00%,0.229,12979,17.65
Jose Ramirez,CLE,152,636,36,11.30%,13.70%,90,42.30%,0.272,13510,17.67
Mitch Haniger,SEA,157,691,39,7.80%,24.50%,89.3,44.70%,0.232,14274,17.72
Miguel Sano,MIN,135,532,30,11.10%,34.40%,93.4,55.60%,0.243,12164,17.73
Ryan Mountcastle,BAL,144,586,33,7.00%,27.50%,89.1,39.70%,0.232,18373,17.76
Avisail Garcia,MIL,135,515,29,7.40%,23.50%,90.4,46.10%,0.228,5760,17.76
Jesus Sanchez,MIA,64,251,14,8.00%,31.10%,90.2,42.70%,0.238,19913,17.93
Bobby Dalbec,BOS,133,453,25,6.20%,34.40%,92.4,48.10%,0.254,19966,18.12
Yordan Alvarez,HOU,144,598,33,8.40%,24.20%,93.2,54.20%,0.253,19556,18.12
Mike Trout,LAA,36,146,8,18.50%,28.10%,91.9,52.60%,0.291,10155,18.25
Nelson Cruz,- - -,140,584,32,8.70%,21.60%,92.9,52.00%,0.232,2434,18.25
Hunter Renfroe,BOS,144,572,31,7.70%,22.70%,90.1,44.30%,0.242,15464,18.45
DJ Peters,- - -,70,240,13,5.00%,34.20%,87.5,38.90%,0.224,19348,18.46
Frank Schwindel,- - -,64,259,14,6.20%,15.80%,86.9,39.80%,0.264,15351,18.50
Eugenio Suarez,CIN,145,574,31,9.80%,29.80%,89.1,39.80%,0.23,12552,18.52
Teoscar Hernandez,TOR,143,595,32,6.10%,24.90%,91.8,48.80%,0.227,13066,18.59
Danny Jansen,TOR,70,205,11,8.30%,21.50%,90,43.30%,0.25,16535,18.64
Mitch Garver,MIN,68,243,13,12.80%,29.20%,92.3,53.60%,0.261,15161,18.69
Brad Miller,PHI,140,377,20,11.90%,29.70%,92.4,47.90%,0.227,12775,18.85
Kyle Tucker,HOU,140,567,30,9.30%,15.90%,91.4,47.00%,0.263,18345,18.90
Gary Sanchez,NYY,117,440,23,11.80%,27.50%,89.5,42.00%,0.219,11442,19.13
Kyle Seager,SEA,159,670,35,8.80%,24.00%,89,40.10%,0.226,9785,19.14
Nolan Arenado,STL,157,653,34,7.70%,14.70%,89,37.10%,0.239,9777,19.21
Darin Ruf,SFG,117,312,16,14.70%,27.90%,93,54.50%,0.248,9929,19.50
Ryan Zimmerman,WSN,110,273,14,5.90%,28.20%,91.3,47.80%,0.227,4220,19.50
Jorge Polanco,MIN,152,644,33,7.00%,18.30%,89.4,36.80%,0.235,13152,19.52
