Name,Tm,IP,TBF,HR,BB%,K%,Hard%,FIP,playerid,PA/HR
Dean Kremer,BAL,53.2,245,17,10.2%,19.2%,33.1%,6.989909902,4806,14.41
Mike Foltynewicz,TEX,130,550,34,6.0%,16.5%,37.4%,6.139264892,17859,16.18
Kohei Arihara,TEX,40.2,178,11,7.3%,13.5%,43.8%,6.760198052,11801,16.18
Logan Allen,CLE,44.1,197,12,8.1%,15.2%,37.8%,6.621161942,15873,16.42
Chase Anderson,PHI,36.1,167,10,10.2%,16.2%,35.0%,6.913153392,16929,16.70
Kolby Allard,TEX,91.2,386,23,4.9%,17.4%,33.3%,5.690034122,19316,16.78
Alexander Wells,BAL,37,168,10,7.1%,14.3%,34.1%,6.602466552,6893,16.80
Griffin Jax,MIN,69.1,303,18,7.9%,17.8%,40.0%,6.242149502,18152,16.83
Vince Velasquez,2 Tms,89,391,23,10.5%,22.8%,35.2%,6.046438612,19990,17.00
Elieser Hernandez,MIA,51.2,225,13,6.2%,23.6%,36.8%,5.376485732,19795,17.31
Chase De Jong,PIT,43.2,196,11,9.7%,19.9%,43.1%,6.032629542,18325,17.82
Ryan Weathers,SDP,69.1,303,17,8.6%,16.5%,41.1%,6.170034122,6661,17.82
Tarik Skubal,DET,143.2,607,34,7.2%,26.2%,38.6%,5.056345022,2520,17.85
Josiah Gray,2 Tms,66.2,290,16,11.0%,23.8%,35.3%,5.750034122,14295,18.13
J.C. Mejia,CLE,42.1,202,11,10.9%,17.8%,34.0%,6.618853022,13543,18.36
Adbert Alzolay,CHC,106.1,444,24,7.2%,24.1%,30.3%,5.135551362,9817,18.50
Drew Smyly,ATL,115.2,501,27,7.6%,21.8%,36.5%,5.357354002,12703,18.56
Caleb Smith,ARI,57,264,14,15.2%,24.6%,33.5%,6.345472722,11804,18.86
Jordan Lyles,TEX,167,720,38,7.4%,19.4%,39.2%,5.529315562,19867,18.95
Eli Morgan,CLE,89.1,379,20,5.8%,21.4%,37.4%,5.140183372,2608,18.95
