playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
19952,Khalil Lee,NYM,2,1,1.5, -   ,0.5,0.5,82.1,-0.4,0.5,1,4, -   , -   ,1, -   , -   ,16,1,0.25,0.563,0.2857,0.4286
21635,Nick Maton,PHI,7,1,0.833,0.143,0.5, -   ,86.2,27, -   , -   ,46,3,0.25,0.3261,0.3571,0.1724,92, -   ,0.114,0.272,0.3818,0.2857
17734,Evan Phillips,LAD,1, -   , -   , -   , -   ,,,,, -   ,3, -   , -   ,0.6667, -   , -   ,1, -   , -   ,1, -   , -   
17109,Meibrys Viloria,TEX,3, -   , -   ,0.333, -   , -   ,77.7,-8.6, -   , -   ,6, -   , -   ,0.3333, -   , -   ,21, -   ,0.05,0.381,0.0909,0.25
21837,Jonathan Aranda,TBR,3, -   , -   , -   , -   ,0.667,103.8,-5, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   ,0.6667
8090,Matt Carpenter,NYY,44,6,0.543,0.25,0.652,0.48,92,25.3,0.2,0.6,61,2,0.184,0.3443,0.4286,0.4138,401,11,0.15,0.287,0.4766,0.3881
13770,Rob Refsnyder,BOS,35,1,0.241,0.114,0.154,0.308,86.3,5.5,0.038,0.5,105,2,0.121,0.2,0.2639,0.3611,121,1,0.093,0.281,0.3649,0.3243
19727,Joe Dunand,MIA,11,1,0.4,0.273,0.714,0.429,85.9,40.1, -   ,0.4,4,1,1,0.25,0.6667,0.6667,7, -   , -   ,0.286,0.75,0.25
9218,Paul Goldschmidt,STL,313,18,0.285,0.192,0.441,0.355,90.6,16.9,0.117,0.4624,237,14,0.322,0.2025,0.4258,0.4258,986,41,0.204,0.194,0.4032,0.3634
19552,Jaylin Davis,BOS,4, -   , -   ,0.5, -   , -   ,80.9,19.8, -   , -   ,11, -   , -   ,0.3636,0.4286,0.2857,14,1,0.286,0.357,0.3333,0.3333
19556,Yordan Alvarez,HOU,270,22,0.338,0.167,0.367,0.441,96,11.4,0.181,0.5507,327,17,0.233,0.2232,0.3287,0.4147,550,39,0.307,0.215,0.4129,0.4102
10155,Mike Trout,LAA,275,22,0.368,0.276,0.563,0.38,92.6,24.3,0.222,0.3596,185,7,0.197,0.2541,0.3762,0.3366,477,40,0.385,0.264,0.5393,0.4143
8623,Donovan Solano,CIN,18, -   ,0.188,0.111,0.214,0.286,86.7,11,0.071,0.3333,193,6,0.167,0.1347,0.3355,0.3269,372,4,0.111,0.196,0.3485,0.303
18067,Garrett Stubbs,PHI,52,3,0.311,0.192,0.323,0.278,86,13.5,0.083,0.5,20,2,0.438,0.2,0.1818,0.3077,80,1,0.127,0.163,0.3704,0.2258
20054,Bligh Madris,PIT,25,1,0.28,0.2,0.25,0.45,90.5,6.6,0.15,0.8,8, -   ,0.25,0.25,0.5,0.3333,17,1,0.294,0.176,0.1429,0.5
17350,Rafael Devers,BOS,314,17,0.272,0.172,0.339,0.395,94.2,10.3,0.133,0.4177,423,10,0.138,0.2057,0.266,0.3378,803,56,0.316,0.22,0.4164,0.4364
10655,Rob Brantly,NYY,3, -   ,0.333, -   ,0.333,0.333,82.5,-4.1, -   ,1,4, -   , -   ,0.25, -   ,0.3333,23, -   ,0.091,0.13,0.5263,0.1579
15640,Aaron Judge,NYY,312,28,0.349,0.247,0.407,0.452,96,13.2,0.25,0.5556,310,25,0.301,0.2774,0.3967,0.5,749,51,0.283,0.242,0.368,0.4428
13510,Jose Ramirez,CLE,289,16,0.315,0.076,0.541,0.299,87.6,20.6,0.074,0.296,360,22,0.287,0.1167,0.4964,0.3714,819,47,0.294,0.134,0.4832,0.3528
19698,Edward Olivares,KCR,48,2,0.222,0.188,0.278,0.389,92.3,1.4,0.111,0.5,106,4,0.173,0.1981,0.3896,0.3377,154,6,0.16,0.208,0.2743,0.287
21538,Nick Fortes,MIA,44,3,0.289,0.114,0.364,0.333,93.2,16.6,0.091,0.3333,25,2,0.25,0.12,0.4286,0.4762,53,5,0.378,0.189,0.4571,0.3714
19508,Kyle Lewis,SEA,16,2,0.4,0.063,0.286,0.286,90.1,13.4,0.143,0.5,107,5,0.183,0.2336,0.4412,0.3529,298,13,0.171,0.282,0.3636,0.3239
17548,Taylor Ward,LAA,216,11,0.246,0.231,0.431,0.387,89,14,0.146,0.4915,176,5,0.178,0.2216,0.3684,0.3277,379,14,0.202,0.248,0.384,0.3667
12981,Cam Gallagher,KCR,23, -   ,0.2,0.217,0.467,0.25,81.4,18.9, -   ,0.2857,53, -   ,0.106,0.1132,0.4,0.2619,154,2,0.116,0.195,0.3303,0.2143
11579,Bryce Harper,PHI,275,15,0.281,0.189,0.354,0.361,92.8,14.1,0.144,0.4412,353,11,0.188,0.255,0.3073,0.3,765,52,0.34,0.182,0.4162,0.4484
22581,Alejandro Kirk,TOR,232,10,0.201,0.099,0.326,0.36,91,10.4,0.107,0.4483,117,6,0.221,0.1282,0.3,0.3667,329,13,0.19,0.103,0.3636,0.3399
11493,Manny Machado,SDP,285,12,0.217,0.165,0.406,0.372,90.7,15.7,0.068,0.3214,309,16,0.232,0.1197,0.4649,0.3728,870,40,0.225,0.171,0.3863,0.4028
6184,J.D. Martinez,BOS,280,8,0.195,0.218,0.34,0.356,90,12,0.122,0.3906,347,13,0.212,0.1988,0.4357,0.3154,803,30,0.211,0.25,0.3878,0.4011
