rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
1,Fernando Tatis Jr.,SDP,65,279,248,80,24,41.0%,33.8%,.323,.685,.363,9.3%,28.3%
2,Juan Soto,WSN,112,505,395,118,27,30.3%,27.8%,.299,.552,.253,21.2%,15.0%
3,Aaron Judge,NYY,109,472,407,121,36,33.8%,36.4%,.297,.614,.317,11.9%,25.2%
4,Bryce Harper,PHI,103,440,379,119,24,35.7%,23.1%,.314,.594,.280,12.0%,19.8%
5,Yordan Alvarez,HOU,110,457,399,118,32,37.5%,27.4%,.296,.599,.303,10.7%,19.5%
6,Pete Alonso,NYM,116,498,441,127,39,42.6%,26.5%,.288,.615,.327,8.2%,20.1%
7,Austin Riley,ATL,119,511,457,139,30,37.6%,23.4%,.304,.567,.263,7.6%,23.5%
8,Byron Buxton,MIN,55,226,210,60,16,41.6%,25.0%,.286,.605,.319,5.8%,25.2%
9,Jose Ramirez,CLE,113,492,431,123,26,47.3%,14.7%,.285,.559,.274,10.2%,12.2%
10,Kyle Garlick,MIN,37,105,97,26,10,48.0%,27.8%,.268,.619,.351,6.7%,21.9%
11,Bryan Reynolds,PIT,116,479,424,128,23,35.4%,19.8%,.302,.540,.238,9.8%,20.3%
12,Giancarlo Stanton,NYY,98,425,373,104,29,31.1%,34.9%,.279,.552,.273,11.5%,25.4%
13,Freddie Freeman,- - -,122,548,477,145,22,34.2%,16.4%,.304,.518,.214,11.7%,15.7%
14,Rafael Devers,BOS,122,538,485,140,31,37.6%,23.1%,.289,.553,.264,8.6%,23.8%
15,Paul Goldschmidt,STL,119,531,463,138,21,39.8%,14.7%,.298,.514,.216,10.9%,20.3%
16,Vladimir Guerrero Jr.,TOR,118,509,438,127,25,34.3%,20.3%,.290,.502,.212,12.2%,16.3%
17,William Contreras,ATL,41,155,139,40,8,32.0%,25.8%,.288,.532,.245,9.0%,27.7%
18,J.D. Davis,NYM,65,213,178,53,6,29.2%,17.1%,.298,.472,.174,12.7%,28.6%
19,Buster Posey,SFG,62,248,218,65,11,27.4%,23.9%,.298,.509,.211,11.3%,20.6%
20,Nolan Arenado,STL,120,510,462,131,30,50.6%,15.0%,.284,.552,.268,7.8%,13.9%
21,Harrison Bader,STL,87,348,322,101,16,37.4%,16.8%,.314,.525,.211,6.0%,19.8%
22,Josh Donaldson,- - -,96,401,343,92,21,40.0%,20.6%,.268,.519,.251,12.0%,23.2%
23,Ketel Marte,ARI,78,316,290,89,11,33.8%,14.5%,.307,.521,.214,7.6%,20.6%
24,Brandon Belt,SFG,73,293,247,62,18,48.5%,22.5%,.251,.506,.255,13.7%,27.0%
25,Darin Ruf,SFG,84,241,202,52,12,35.6%,25.0%,.257,.490,.233,15.4%,28.2%
26,Jace Peterson,MIL,88,284,250,73,11,34.6%,16.7%,.292,.504,.212,9.5%,21.8%
27,Joey Wendle,- - -,90,336,306,96,11,29.0%,15.9%,.314,.507,.193,6.5%,21.1%
28,J.D. Martinez,BOS,104,458,415,122,19,39.3%,15.8%,.294,.516,.222,8.1%,24.2%
29,Matt Olson,- - -,118,529,454,121,27,42.4%,17.1%,.267,.520,.253,11.9%,16.1%
30,Teoscar Hernandez,TOR,96,397,370,108,22,36.7%,21.8%,.292,.535,.243,5.5%,24.2%
31,Jesse Winker,- - -,98,429,372,107,15,34.4%,14.3%,.288,.473,.185,12.1%,15.6%
32,Kyle Tucker,HOU,108,453,398,106,26,46.7%,16.8%,.266,.528,.261,11.0%,15.2%
33,Jose Abreu,CHW,113,503,441,130,19,34.8%,15.6%,.295,.490,.195,9.5%,19.3%
34,Michael Brantley,HOU,92,396,360,116,8,24.7%,10.1%,.322,.461,.139,7.8%,10.1%
35,Alejandro Kirk,TOR,64,227,201,59,9,34.6%,14.5%,.294,.473,.179,10.6%,10.1%
36,Matt Vierling,PHI,35,100,93,29,4,30.1%,18.2%,.312,.505,.194,4.0%,21.0%
37,Tyler O'Neill,STL,90,370,337,92,22,37.6%,26.8%,.273,.531,.258,6.8%,32.7%
38,Trea Turner,- - -,115,525,479,152,17,30.2%,14.3%,.317,.489,.171,6.9%,17.3%
39,Ronald Acuna Jr.,ATL,61,278,238,67,9,38.2%,13.6%,.282,.466,.185,11.2%,24.1%
40,Jonathan India,CIN,86,365,311,84,13,34.1%,16.5%,.270,.453,.183,10.4%,21.9%
41,Brandon Nimmo,NYM,81,364,305,87,9,27.2%,14.3%,.285,.430,.144,12.4%,20.3%
42,Kyle Seager,SEA,80,347,314,82,22,55.1%,16.9%,.261,.538,.277,7.8%,22.8%
43,Mike Trout,LAA,51,215,185,45,12,49.6%,20.3%,.243,.497,.254,12.6%,30.7%
44,Patrick Wisdom,CHC,88,332,298,74,21,50.0%,26.3%,.248,.523,.275,9.0%,41.6%
45,Kyle Schwarber,- - -,90,393,332,76,25,40.8%,28.1%,.229,.488,.259,14.0%,29.3%
46,Rafael Ortega,CHC,85,272,240,70,9,41.7%,11.5%,.292,.467,.175,10.3%,19.5%
47,Anthony Rendon,LAA,47,201,171,48,6,49.7%,8.2%,.281,.462,.181,12.4%,13.4%
48,Brandon Lowe,TBR,86,360,314,78,22,42.9%,23.7%,.248,.513,.264,10.8%,27.2%
49,Will Smith,LAD,99,417,357,97,20,46.3%,14.5%,.272,.487,.216,9.8%,16.5%
50,Luis Robert,CHW,68,299,288,92,9,29.7%,13.6%,.319,.479,.160,2.0%,22.1%
51,Andres Gimenez,CLE,65,228,209,61,8,33.6%,15.7%,.292,.478,.187,4.4%,24.1%
52,Marcus Semien,- - -,121,545,486,130,29,50.8%,14.7%,.267,.502,.235,9.4%,19.3%
53,Shohei Ohtani,LAA,113,470,414,102,27,35.5%,26.5%,.246,.519,.273,11.3%,26.4%
54,Nathaniel Lowe,TEX,114,477,420,118,15,28.7%,17.4%,.281,.455,.174,11.5%,25.4%
55,Andrew Benintendi,KCR,103,416,375,114,14,39.5%,11.3%,.304,.472,.168,7.7%,15.9%
56,Jorge Polanco,MIN,102,448,408,109,25,47.4%,16.4%,.267,.512,.245,8.0%,18.8%
57,Willy Adames,- - -,105,449,410,111,20,38.4%,18.0%,.271,.493,.222,8.7%,26.9%
