Name,Team,PA,HR,FB%,HardHit%,EV,playerid
Mike Trout,LAA,5922,331,41.70%,45.50%,91.3,10155
Yordan Alvarez,HOU,1237,83,37.90%,54.70%,93.6,19556
Juan Soto,WSN,2310,112,32.10%,47.70%,91.6,20123
Fernando Tatis Jr.,SDP,1175,81,36.10%,53.50%,93.3,19709
Joey Votto,CIN,7116,283,34.20%,39.20%,89.3,4314
Aaron Judge,NYY,2764,185,37.80%,56.20%,95.3,15640
David Ortiz,BOS,4036,224,42.00%,48.40%,93.1,745
Jim Thome,- - -,850,48,34.10%,,,409
Paul Goldschmidt,- - -,6600,297,36.00%,45.10%,91.1,9218
Bryce Harper,- - -,5751,282,37.40%,45.30%,91.3,11579
Ronald Acuna Jr.,ATL,1952,112,39.80%,49.20%,91.5,18401
Miguel Cabrera,DET,6781,296,34.30%,48.50%,92.1,1744
Freddie Freeman,- - -,6966,279,35.20%,44.00%,90.5,5361
Giancarlo Stanton,- - -,5805,362,39.10%,50.30%,93.9,4949
Jose Bautista,- - -,5206,285,46.50%,42.20%,90.6,1887
Mookie Betts,- - -,4700,195,42.80%,42.20%,90.3,13611
Brendan Donovan,STL,184,1,19.40%,37.90%,86.9,24679
Kris Bryant,- - -,3911,167,42.70%,37.60%,87.8,15429
Troy Tulowitzki,- - -,3576,160,38.30%,39.10%,89.3,3531
Vladimir Guerrero Jr.,TOR,1749,89,33.50%,49.80%,92.9,19611
J.D. Martinez,- - -,5559,274,37.60%,47.90%,91.5,6184
Ryan Braun,MIL,5477,249,32.80%,44.00%,91.1,3410
Nelson Cruz,- - -,6887,401,39.30%,50.00%,93.2,2434
Alex Bregman,HOU,3101,126,43.10%,37.00%,88.8,17678
Adrian Beltre,- - -,5253,227,39.20%,38.00%,89,639
Pete Alonso,NYM,1871,126,42.80%,44.40%,90.6,19251
Josh Donaldson,- - -,5341,257,38.60%,48.00%,92.3,5038
Matt Holliday,- - -,4343,164,36.00%,44.60%,91.3,1873
Edwin Encarnacion,- - -,5945,345,45.50%,41.50%,89.8,2151
Prince Fielder,- - -,4049,159,36.10%,40.10%,90.2,4613
Josh Hamilton,- - -,2944,139,38.10%,39.20%,88.2,1875
Jim Edmonds,- - -,272,11,43.30%,,,1153
Nolan Arenado,- - -,5497,283,43.90%,38.30%,89.4,9777
Jesse Winker,- - -,1815,72,32.20%,41.40%,89.9,13590
Shohei Ohtani,LAA,1904,108,34.00%,49.00%,92.7,19755
Will Smith,LAD,1064,58,47.70%,43.20%,90.1,19197
Manny Ramirez,- - -,337,9,35.00%,,,210
George Springer,- - -,4178,209,35.60%,40.30%,89.3,12856
Jose Ramirez,CLE,4304,179,42.40%,34.90%,88.6,13510
Oscar Gonzalez,CLE,106,2,22.80%,45.60%,90.7,20970
Lance Berkman,- - -,1459,53,38.10%,,,548
Christian Yelich,- - -,5064,167,23.10%,48.50%,92.1,11477
Anthony Rizzo,- - -,6285,270,39.10%,38.50%,89.1,3473
Corey Seager,- - -,3000,119,34.20%,44.20%,90.6,13624
Jose Abreu,CHW,5120,237,33.50%,45.90%,91.3,15676
Nolan Gorman,STL,111,6,44.60%,44.60%,90.7,22263
Andrew McCutchen,- - -,7342,263,38.30%,40.80%,89.5,9847
Carlos Gonzalez,- - -,4918,217,34.30%,38.80%,89.4,7287
Rhys Hoskins,PHI,2504,131,49.50%,41.70%,89.9,16472
Kevin Youkilis,- - -,1579,57,40.20%,,,1935
Charlie Blackmon,COL,5613,202,35.50%,34.70%,87.4,7859
Brandon Nimmo,NYM,1971,51,32.00%,38.00%,89.2,12927
Anthony Rendon,- - -,4596,156,42.30%,41.30%,90.3,12861
Alejandro Kirk,TOR,434,17,35.30%,45.20%,91.6,22581
Luke Voit,- - -,1494,82,36.40%,44.50%,90.2,14811
Robinson Cano,- - -,6487,248,29.90%,45.30%,90.8,3269
Trea Turner,- - -,3326,112,33.30%,41.30%,89.7,16252
Rafael Devers,BOS,2642,128,36.20%,47.50%,92.3,17350
Paul Konerko,CHW,2612,113,40.10%,,,242
Bryan Reynolds,PIT,1678,59,32.70%,40.40%,89,19326
Kyle Tucker,HOU,1198,56,44.00%,44.00%,90.8,18345
Matt Olson,- - -,2683,152,43.40%,49.30%,92.4,14344
Carlos Quentin,- - -,1825,83,48.70%,,,6274
Buster Posey,SFG,5590,158,31.40%,37.60%,89.1,9166
Trevor Story,- - -,3410,169,45.00%,43.10%,90.5,12564
Max Muncy,- - -,2374,128,42.20%,41.70%,89.5,13301
Justin Turner,- - -,4858,155,39.00%,39.90%,90,5235
Brandon Lowe,TBR,1447,81,42.50%,43.00%,89.9,18882
Carlos Correa,- - -,3436,140,32.20%,41.90%,90,14162
Shin-Soo Choo,- - -,5882,181,29.40%,42.50%,90.3,3174
Jeff McNeil,NYM,1699,41,34.70%,33.20%,87.9,15362
David Wright,NYM,3206,102,39.00%,41.80%,90.4,3787
Matt Carpenter,- - -,5266,161,41.50%,38.50%,89.7,8090
Luis Gonzalez,- - -,193,3,36.00%,37.10%,87.7,20332
Josh Willingham,- - -,2464,108,46.50%,,,2103
Chipper Jones,ATL,1341,42,36.50%,,,97
Jose Altuve,HOU,6583,177,31.90%,32.30%,87,5417
Jayson Werth,- - -,4079,136,41.30%,42.30%,90.2,1327
Adrian Gonzalez,- - -,5108,180,35.40%,34.90%,88.3,1908
Tyler Stephenson,CIN,577,17,27.20%,37.30%,87.9,17988
Brandon Belt,SFG,4928,172,44.00%,37.90%,88.3,10264
Luis Robert,CHW,758,31,35.30%,42.90%,89.9,20043
Kyle Schwarber,- - -,2880,173,42.00%,47.60%,91.9,16478
