Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Matt Carpenter,NYY,16,44,2,1,0,6,11,13,7,1,11,1,15,92,5,0,8090,8.56
Rob Refsnyder,BOS,11,35,7,4,0,1,7,6,3,0,4,2,4,86.3,1,0,13770,7.91
Joe Dunand,MIA,3,11,1,1,0,1,2,1,0,0,3,1,5,85.9,0,0,19727,8.67
Paul Goldschmidt,STL,71,313,50,23,0,18,54,62,40,1,60,0,93,90.6,25,3,9218,10.90
Yordan Alvarez,HOU,65,270,40,8,2,22,47,54,34,3,45,3,69,96,34,0,19556,10.43
Mike Trout,LAA,66,275,28,16,2,22,51,45,37,6,76,4,89,92.6,35,0,10155,10.39
Donovan Solano,CIN,4,18,3,3,0,0,3,2,1,0,2,1,3,86.7,1,0,8623,9.50
Garrett Stubbs,PHI,18,52,7,3,1,3,6,10,6,0,10,0,10,86,3,1,18067,6.83
Bligh Madris,PIT,6,25,4,4,0,1,4,6,0,0,5,0,5,90.5,3,1,20054,11.17
Rafael Devers,BOS,71,314,53,25,1,17,55,45,21,5,54,6,79,94.2,31,2,17350,10.37
Aaron Judge,NYY,71,312,41,11,0,28,59,56,35,6,77,0,81,96,50,5,15640,11.20
Jose Ramirez,CLE,66,289,33,23,4,16,46,63,34,5,22,2,125,87.6,17,12,13510,11.61
Edward Olivares,KCR,18,48,10,4,0,2,7,6,2,0,9,1,10,92.3,4,2,19698,6.22
Nick Fortes,MIA,13,44,6,2,0,3,15,7,4,0,5,2,12,93.2,3,2,21538,9.54
Kyle Lewis,SEA,4,16,2,0,0,2,3,3,0,0,1,1,4,90.1,2,0,19508,10.00
Taylor Ward,LAA,51,216,36,9,2,11,39,29,29,0,50,0,59,89,20,1,17548,9.37
Cam Gallagher,KCR,10,23,3,4,0,0,1,5,2,0,5,0,7,81.4,0,0,12981,4.50
Bryce Harper,PHI,64,275,40,21,1,15,49,48,26,4,52,3,68,92.8,28,9,11579,10.75
Alejandro Kirk,TOR,63,232,44,10,0,10,35,31,29,1,23,2,58,91,19,0,22581,7.59
Manny Machado,SDP,66,285,53,17,1,12,48,46,30,6,47,1,84,90.7,14,7,11493,10.14
J.D. Martinez,BOS,63,280,49,24,0,8,43,32,28,1,61,3,64,90,23,0,6184,8.90
Tom Murphy,SEA,14,42,7,2,0,1,9,1,8,0,13,0,7,94.3,4,0,13499,5.50
Joc Pederson,SFG,63,211,28,6,0,17,32,39,18,1,46,4,62,94.5,27,2,11899,7.65
Josh Smith,TEX,10,33,6,1,0,0,3,0,6,0,4,3,5,87.9,0,2,26396,5.70
Jason Vosler,SFG,17,58,9,2,0,4,9,8,6,1,15,0,10,84.9,2,1,16686,7.65
