rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
1,Paul Goldschmidt,STL,98,204,177,68,12,42.3%,20.7%,.384,.712,.328,11.8%,20.1%
2,Teoscar Hernandez,TOR,86,178,165,59,15,42.6%,27.3%,.358,.727,.370,5.6%,21.3%
3,Mike Zunino,TBR,86,169,151,44,18,62.1%,28.1%,.291,.728,.437,10.1%,28.4%
4,Luis Robert,CHW,61,125,115,42,8,33.3%,26.7%,.365,.643,.278,6.4%,20.8%
5,Trea Turner,- - -,128,264,238,85,14,35.8%,19.2%,.357,.630,.273,7.6%,13.6%
6,Ketel Marte,ARI,87,186,171,61,9,37.2%,16.4%,.357,.632,.275,5.9%,12.4%
7,Ronald Acuna Jr.,ATL,64,133,105,31,9,39.5%,28.1%,.295,.600,.305,18.0%,19.5%
8,Buster Posey,SFG,62,119,106,39,6,25.9%,27.3%,.368,.623,.255,10.1%,18.5%
9,Willson Contreras,CHC,94,206,178,54,15,41.2%,27.8%,.303,.629,.326,10.2%,23.8%
10,Yasmani Grandal,CHW,82,141,99,28,6,40.8%,20.7%,.283,.485,.202,27.7%,21.3%
11,Brendan Rodgers,COL,94,194,179,59,12,27.9%,27.9%,.330,.615,.285,6.2%,12.9%
12,Mike Trout,LAA,59,125,97,30,4,33.8%,18.2%,.309,.505,.196,21.6%,25.6%
13,Kyle Garlick,MIN,49,108,98,30,9,40.8%,31.0%,.306,.643,.337,5.6%,26.9%
14,Evan Longoria,SFG,70,134,114,35,9,45.5%,22.5%,.307,.588,.281,13.4%,20.1%
15,Byron Buxton,MIN,64,153,142,42,12,34.3%,35.3%,.296,.634,.338,5.9%,28.1%
16,Nolan Arenado,STL,88,180,162,47,15,53.9%,19.7%,.290,.630,.340,8.3%,12.8%
17,Rhys Hoskins,PHI,107,244,205,54,15,53.0%,18.8%,.263,.580,.317,13.1%,22.5%
18,Jose Abreu,CHW,106,213,188,55,14,38.8%,24.6%,.293,.580,.287,8.9%,19.7%
19,Vladimir Guerrero Jr.,TOR,110,225,190,55,15,29.6%,31.3%,.289,.542,.253,15.6%,12.4%
20,Taylor Ward,LAA,63,139,120,38,5,37.1%,15.2%,.317,.517,.200,11.5%,19.4%
21,Wander Franco,TBR,77,163,150,51,5,34.3%,10.9%,.340,.553,.213,7.4%,10.4%
22,Brandon Drury,- - -,60,112,109,32,9,42.3%,27.3%,.294,.633,.339,1.8%,27.7%
23,Fernando Tatis Jr.,SDP,67,134,116,33,9,36.3%,31.0%,.284,.595,.310,12.7%,26.9%
24,Salvador Perez,KCR,125,255,238,71,21,44.8%,25.9%,.298,.613,.315,4.7%,22.7%
25,Kyle Farmer,CIN,110,197,179,55,12,37.1%,21.4%,.307,.570,.263,6.6%,14.7%
26,Andrew Vaughn,CHW,97,192,168,50,9,38.3%,18.4%,.298,.542,.244,12.0%,20.8%
27,Andrew McCutchen,- - -,122,273,234,64,18,37.5%,26.1%,.274,.564,.291,12.5%,18.7%
28,Javier Baez,- - -,106,209,190,59,11,32.1%,25.0%,.311,.568,.258,6.7%,25.8%
29,Dylan Carlson,STL,99,189,171,58,7,34.9%,15.6%,.339,.538,.199,7.4%,23.3%
