rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
1,Bryce Harper,PHI,192,593,500,166,43,40.2%,27.6%,.332,.688,.356,13.7%,19.4%
2,Mike Trout,LAA,102,319,277,79,27,56.1%,26.7%,.285,.664,.379,11.6%,30.4%
3,Juan Soto,WSN,208,630,477,145,29,30.2%,24.2%,.304,.549,.245,23.8%,12.7%
4,Rafael Devers,BOS,223,670,598,178,46,42.4%,23.7%,.298,.612,.314,9.3%,21.0%
5,Yordan Alvarez,HOU,189,557,494,146,39,41.4%,25.0%,.296,.599,.304,9.9%,21.4%
6,Fernando Tatis Jr.,SDP,125,412,362,102,33,41.1%,32.4%,.282,.616,.334,10.9%,28.4%
7,Vladimir Guerrero Jr.,TOR,234,816,714,213,52,36.4%,24.9%,.298,.573,.275,10.8%,17.6%
8,Jose Ramirez,CLE,211,651,555,152,38,48.1%,16.4%,.274,.580,.306,12.7%,12.0%
9,Joey Votto,CIN,180,535,449,119,36,44.6%,24.0%,.265,.568,.303,14.8%,21.7%
10,Freddie Freeman,- - -,223,741,636,201,31,33.8%,17.3%,.316,.528,.212,13.1%,14.7%
11,Aaron Judge,NYY,216,681,596,173,45,36.3%,28.5%,.290,.567,.277,11.5%,24.4%
12,Kyle Schwarber,- - -,173,531,456,113,44,44.9%,31.2%,.248,.588,.340,13.4%,26.7%
13,Shohei Ohtani,LAA,212,633,530,139,43,42.3%,28.3%,.262,.568,.306,15.3%,26.9%
14,Jesse Winker,- - -,183,608,523,155,24,37.2%,14.8%,.296,.511,.214,12.2%,14.6%
15,Brandon Belt,SFG,136,436,375,99,29,49.4%,24.2%,.264,.555,.291,11.9%,28.9%
16,Byron Buxton,MIN,114,352,318,81,28,47.4%,25.9%,.255,.597,.343,6.8%,25.6%
17,Luis Gonzalez,- - -,52,146,128,42,3,36.4%,8.3%,.328,.508,.180,9.6%,19.2%
18,Ronald Acuna Jr.,ATL,126,438,370,104,22,42.5%,19.5%,.281,.527,.246,10.7%,25.1%
19,Jared Walsh,LAA,209,618,559,169,30,32.7%,23.4%,.302,.542,.240,8.3%,27.3%
20,Michael Brantley,HOU,162,518,465,156,10,30.7%,7.8%,.335,.482,.146,9.5%,9.3%
21,C.J. Cron,COL,211,636,557,159,33,40.8%,19.2%,.285,.531,.246,9.1%,22.2%
22,Austin Riley,ATL,229,757,678,199,44,36.9%,24.0%,.294,.535,.242,7.5%,24.8%
23,Brandon Lowe,TBR,175,525,448,115,31,42.9%,22.6%,.257,.538,.281,12.4%,24.8%
24,Kyle Tucker,HOU,191,564,491,139,27,45.4%,15.3%,.283,.521,.238,12.1%,17.9%
25,Danny Jansen,TOR,68,183,167,42,15,47.7%,24.2%,.251,.587,.335,7.1%,20.2%
26,Paul Goldschmidt,STL,230,813,719,209,38,41.3%,16.4%,.291,.510,.220,10.3%,19.9%
27,Bryan Reynolds,PIT,220,677,587,162,32,38.7%,18.0%,.276,.514,.239,11.2%,19.1%
28,Pete Alonso,NYM,216,684,608,171,38,41.3%,19.2%,.281,.528,.247,7.7%,19.9%
29,Mookie Betts,LAD,172,599,515,136,29,44.9%,15.0%,.264,.503,.239,11.4%,14.9%
30,George Springer,TOR,145,492,434,113,30,43.0%,20.7%,.260,.532,.272,9.3%,20.5%
31,Josh Bell,WSN,206,601,532,155,25,27.4%,21.4%,.291,.494,.203,9.7%,18.0%
32,Xander Bogaerts,BOS,209,645,573,174,21,36.2%,12.7%,.304,.490,.187,8.5%,18.9%
33,Cedric Mullins II,BAL,217,651,580,168,25,45.1%,12.0%,.290,.509,.219,8.8%,17.1%
34,Christopher Morel,CHC,42,151,138,40,6,28.4%,24.0%,.290,.500,.210,7.9%,32.5%
35,Jose Altuve,HOU,201,684,599,165,34,37.8%,17.9%,.275,.499,.224,10.7%,14.0%
36,Garrett Cooper,MIA,132,406,351,104,10,25.3%,15.4%,.296,.462,.165,10.3%,24.1%
37,Will Smith,LAD,182,566,472,123,28,47.5%,15.7%,.261,.498,.237,11.3%,19.3%
38,Brandon Crawford,SFG,194,582,511,147,22,39.8%,13.7%,.288,.493,.205,10.3%,18.6%
39,Josh Naylor,CLE,108,309,286,84,15,36.8%,16.3%,.294,.524,.231,6.1%,12.3%
40,Ji-Man Choi,TBR,133,414,342,86,18,36.1%,20.9%,.251,.465,.213,16.7%,25.4%
41,Giancarlo Stanton,NYY,195,602,533,140,40,36.6%,29.4%,.263,.523,.261,10.6%,27.6%
42,Manny Machado,SDP,217,694,625,189,29,38.0%,15.1%,.302,.510,.208,8.2%,18.6%
43,Matt Olson,- - -,220,653,549,145,27,42.0%,14.7%,.264,.497,.233,13.6%,18.1%
44,J.D. Martinez,BOS,207,650,585,169,25,37.6%,15.6%,.289,.503,.214,7.8%,25.5%
45,Rafael Ortega,CHC,159,474,418,124,15,44.0%,10.5%,.297,.476,.179,9.7%,19.8%
46,Brendan Donovan,STL,57,186,157,46,2,24.4%,6.7%,.293,.420,.127,11.8%,18.8%
47,Alejandro Kirk,TOR,113,330,282,78,12,36.7%,13.0%,.277,.457,.181,12.4%,10.3%
48,Daniel Vogelbach,- - -,143,400,336,85,18,40.3%,18.0%,.253,.464,.211,15.8%,22.3%
49,LaMonte Wade Jr.,SFG,120,377,331,88,20,45.4%,17.5%,.266,.511,.245,9.5%,21.8%
