rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
1,Christian Arroyo,BOS,4,14,10,5,1,30.0%,33.3%,.500,.800,.300,84.2,10.0%,40.0%,0.0%,21.4%,3.8%,53,0,0
2,Isaac Paredes,TBR,12,51,48,18,8,35.1%,61.5%,.375,.938,.563,94.0,10.8%,54.1%,21.6%,3.9%,8.7%,218,0,1
3,Matt Carpenter,NYY,8,14,11,4,2,57.1%,50.0%,.364,.909,.545,91.5,28.6%,57.1%,28.6%,21.4%,8.5%,47,0,0
4,Josh Bell,WSN,11,46,40,19,1,20.0%,14.3%,.475,.775,.300,91.0,5.7%,37.1%,10.9%,10.9%,6.3%,174,0,0
5,Cavan Biggio,TOR,11,43,33,13,2,45.8%,18.2%,.394,.727,.333,87.1,15.4%,38.5%,18.6%,18.6%,5.4%,168,0,0
6,Chas McCormick,HOU,6,20,16,6,2,30.0%,66.7%,.375,.750,.375,87.8,10.0%,40.0%,30.0%,15.0%,17.7%,79,0,0
7,David Peralta,ARI,8,29,26,10,3,40.9%,33.3%,.385,.808,.423,94.4,31.8%,63.6%,13.8%,10.3%,5.6%,89,0,0
8,Jazz Chisholm Jr.,MIA,6,20,16,6,1,38.5%,20.0%,.375,.688,.313,92.9,15.4%,46.2%,15.0%,10.0%,14.3%,84,1,1
9,Julio Rodriguez,SEA,13,53,47,16,6,42.5%,35.3%,.340,.830,.489,95.9,30.0%,60.0%,15.1%,5.7%,12.8%,180,2,1
10,Kody Clemens,DET,4,11,9,2,2,55.6%,40.0%,.222,.889,.667,91.2,11.1%,55.6%,0.0%,18.2%,6.7%,45,0,0
11,Harold Ramirez,TBR,13,46,40,17,2,32.3%,20.0%,.425,.675,.250,88.5,3.2%,38.7%,19.6%,10.9%,13.8%,167,1,0
12,Shohei Ohtani,LAA,12,51,38,13,5,53.3%,31.3%,.342,.789,.447,95.2,33.3%,56.7%,19.6%,21.6%,8.8%,205,1,0
13,Alejandro Kirk,TOR,12,46,39,14,4,36.1%,30.8%,.359,.718,.359,93.4,16.7%,52.8%,6.5%,10.9%,6.5%,184,0,0
14,Yordan Alvarez,HOU,10,40,33,10,5,45.8%,45.5%,.303,.788,.485,94.7,33.3%,41.7%,22.5%,17.5%,9.4%,159,0,0
15,Jose Altuve,HOU,12,53,42,13,4,45.9%,23.5%,.310,.690,.381,88.0,18.9%,45.9%,9.4%,17.0%,5.6%,198,3,0
16,Franchy Cordero,BOS,9,33,29,13,0,25.0%,0.0%,.448,.586,.138,89.4,19.0%,33.3%,24.2%,12.1%,12.5%,136,2,1
17,Freddie Freeman,LAD,13,62,53,20,4,33.3%,30.8%,.377,.698,.321,94.8,12.8%,61.5%,24.2%,11.3%,10.6%,235,1,0
18,Luke Williams,MIA,9,13,11,4,1,40.0%,50.0%,.364,.636,.273,91.3,20.0%,60.0%,46.2%,15.4%,12.3%,65,0,0
19,Brendan Rodgers,COL,12,52,45,16,2,32.5%,15.4%,.356,.711,.356,92.3,15.0%,47.5%,11.5%,11.5%,7.6%,185,0,0
20,Nolan Arenado,STL,13,54,53,19,4,52.3%,17.4%,.358,.736,.377,88.9,13.6%,36.4%,16.7%,0.0%,12.2%,205,0,1
21,Lourdes Gurriel Jr.,TOR,12,49,44,18,1,21.6%,12.5%,.409,.614,.205,90.2,2.7%,45.9%,14.3%,6.1%,7.8%,192,0,0
22,Daniel Vogelbach,PIT,14,50,38,13,2,32.1%,22.2%,.342,.579,.237,89.7,14.3%,50.0%,20.0%,24.0%,3.3%,240,0,0
23,Rhys Hoskins,PHI,12,50,38,11,4,53.3%,25.0%,.289,.684,.395,92.7,20.0%,53.3%,18.0%,22.0%,7.7%,222,0,0
24,Adam Engel,CHW,3,11,9,4,0,16.7%,0.0%,.444,.556,.111,83.9,0.0%,16.7%,27.3%,18.2%,18.9%,37,2,0
25,Nico Hoerner,CHC,13,54,48,22,1,32.6%,7.1%,.458,.563,.104,90.0,4.5%,36.4%,9.3%,9.3%,7.9%,177,0,0
26,Joc Pederson,SFG,12,42,39,13,3,50.0%,18.8%,.333,.692,.359,94.5,15.6%,56.3%,16.7%,4.8%,11.1%,153,0,0
27,Paul Goldschmidt,STL,12,50,43,14,3,53.3%,18.8%,.326,.628,.302,92.3,16.7%,46.7%,26.0%,12.0%,10.7%,215,0,0
28,Christian Vazquez,BOS,11,42,37,15,1,22.6%,14.3%,.405,.595,.189,91.9,9.7%,58.1%,16.7%,9.5%,5.5%,163,0,1
29,Amed Rosario,CLE,14,60,54,21,2,26.7%,16.7%,.389,.574,.185,88.7,2.2%,40.0%,15.0%,8.3%,5.7%,227,2,2
30,Juan Soto,WSN,11,43,31,9,1,44.0%,9.1%,.290,.516,.226,87.0,12.0%,36.0%,14.0%,27.9%,8.0%,176,0,0
31,Will Smith,LAD,12,54,49,16,5,56.8%,20.0%,.327,.673,.347,92.2,9.1%,45.5%,11.1%,3.7%,5.6%,196,0,0
32,Edmundo Sosa,STL,6,11,10,3,0,25.0%,0.0%,.300,.700,.400,94.3,12.5%,50.0%,18.2%,0.0%,16.7%,36,1,0
33,P.J. Higgins,CHC,7,19,17,6,1,36.4%,25.0%,.353,.588,.235,87.2,8.3%,25.0%,26.3%,10.5%,14.7%,68,0,0
34,Alex Bregman,HOU,11,47,39,14,2,31.3%,20.0%,.359,.564,.205,91.0,3.1%,34.4%,17.0%,10.6%,8.0%,175,0,0
35,Ryan Mountcastle,BAL,12,49,46,16,2,33.3%,18.2%,.348,.630,.283,96.0,21.2%,63.6%,26.5%,6.1%,18.6%,172,1,1
36,Pavin Smith,ARI,4,15,12,5,0,41.7%,0.0%,.417,.417,.000,86.6,8.3%,33.3%,0.0%,20.0%,4.6%,65,0,0
37,Josh Harrison,CHW,9,36,31,11,2,22.7%,40.0%,.355,.548,.194,81.6,9.1%,13.6%,25.0%,11.1%,14.6%,130,0,0
38,Jonah Heim,TEX,11,37,34,11,4,39.3%,36.4%,.324,.676,.353,94.9,10.7%,60.7%,18.9%,5.4%,6.5%,154,0,0
39,Jarren Duran,BOS,9,43,40,15,1,38.9%,7.1%,.375,.575,.200,90.2,11.1%,38.9%,9.3%,7.0%,6.0%,167,4,1
40,Justin Turner,LAD,12,49,40,14,3,54.3%,15.8%,.350,.650,.300,90.8,17.1%,37.1%,16.3%,12.2%,7.5%,201,1,0
41,Evan Longoria,SFG,11,46,39,13,3,40.0%,25.0%,.333,.590,.256,89.3,13.3%,43.3%,21.7%,13.0%,11.0%,181,0,0
42,Dansby Swanson,ATL,13,58,57,19,5,47.6%,25.0%,.333,.649,.316,90.4,19.0%,54.8%,25.9%,0.0%,15.5%,232,1,1
43,Christian Yelich,MIL,13,61,49,17,1,10.5%,25.0%,.347,.490,.143,86.7,7.7%,38.5%,18.0%,16.4%,8.1%,247,2,0
44,Jose Abreu,CHW,13,56,50,20,0,31.8%,0.0%,.400,.480,.080,94.6,13.6%,54.5%,10.7%,10.7%,7.8%,230,0,0
45,Austin Riley,ATL,12,49,42,14,2,38.2%,15.4%,.333,.571,.238,94.3,5.9%,58.8%,18.4%,12.2%,11.7%,197,0,0
46,Nick Gordon,MIN,13,32,30,9,3,33.3%,42.9%,.300,.633,.333,92.3,23.8%,57.1%,28.1%,3.1%,19.1%,94,0,1
47,Jesse Winker,SEA,13,53,45,14,2,37.1%,15.4%,.311,.533,.222,86.2,11.4%,25.7%,18.9%,13.2%,6.9%,203,0,0
48,Nick Fortes,MIA,5,18,17,5,1,26.7%,25.0%,.294,.647,.353,91.5,6.7%,40.0%,11.1%,5.6%,6.1%,66,1,0
49,Kolten Wong,MIL,6,22,20,6,1,35.7%,20.0%,.300,.600,.300,95.5,6.7%,66.7%,22.7%,9.1%,10.6%,85,0,1
50,Nathaniel Lowe,TEX,11,44,39,12,3,30.0%,33.3%,.308,.564,.256,86.8,10.0%,43.3%,20.5%,11.4%,8.0%,174,0,1
51,Patrick Wisdom,CHC,13,59,53,15,5,54.3%,26.3%,.283,.604,.321,95.5,17.1%,60.0%,30.5%,8.5%,15.8%,241,2,0
52,Alex Verdugo,BOS,12,54,49,17,2,17.8%,25.0%,.347,.531,.184,93.2,4.4%,51.1%,7.4%,9.3%,3.3%,209,0,0
53,Andrew Benintendi,KCR,12,53,45,17,1,33.3%,7.1%,.378,.467,.089,89.7,4.8%,40.5%,7.5%,13.2%,5.3%,171,1,2
54,DJ LeMahieu,NYY,14,57,43,12,2,25.0%,22.2%,.279,.442,.163,90.5,5.6%,52.8%,12.3%,24.6%,4.0%,251,2,0
55,Joey Wendle,MIA,2,10,8,3,0,12.5%,0.0%,.375,.375,.000,85.5,0.0%,25.0%,0.0%,20.0%,0.0%,30,1,0
