Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,K%,SwStr%,Pitches,SB,CS,playerid
Mike Trout,LAA,407,1780,1415,428,122,47.30%,24.80%,0.302,0.633,0.33,91.6,17.00%,47.40%,21.90%,7.10%,7472,38,5,10155
Sam Huff,TEX,22,71,69,26,3,23.90%,27.30%,0.377,0.565,0.188,93.9,13.00%,54.30%,32.40%,17.70%,283,1,0,22209
Juan Soto,WSN,514,2223,1790,527,107,31.90%,23.80%,0.294,0.54,0.245,91.7,12.30%,48.00%,17.30%,7.50%,9177,36,13,20123
Mookie Betts,- - -,509,2328,1986,599,115,44.40%,15.60%,0.302,0.558,0.257,91,9.80%,46.00%,15.00%,5.30%,9467,70,17,13611
Fernando Tatis Jr.,SDP,273,1175,1036,303,81,36.10%,31.40%,0.292,0.596,0.303,93.3,18.20%,53.50%,27.60%,15.50%,4528,52,13,19709
Yordan Alvarez,HOU,276,1155,1012,289,75,38.30%,26.30%,0.286,0.576,0.291,93.3,16.20%,54.20%,23.60%,9.30%,4637,1,0,19556
Aaron Judge,NYY,436,1890,1617,456,120,35.50%,30.80%,0.282,0.553,0.271,95.4,18.10%,56.20%,28.30%,12.80%,8030,18,7,15640
Bryce Harper,- - -,559,2412,1975,541,127,38.50%,23.40%,0.274,0.542,0.268,92,14.30%,47.50%,23.40%,14.20%,9735,55,12,11579
Freddie Freeman,- - -,587,2571,2213,676,109,33.50%,18.10%,0.305,0.528,0.222,90.4,11.20%,43.90%,16.80%,10.70%,9938,30,9,5361
Ronald Acuna Jr.,ATL,416,1858,1593,448,107,40.00%,23.90%,0.281,0.544,0.262,91.6,14.80%,49.40%,26.20%,11.50%,7753,87,21,18401
Christian Yelich,MIL,500,2159,1841,529,106,28.40%,27.60%,0.287,0.529,0.241,92.5,12.30%,50.30%,22.70%,10.00%,8790,72,11,11477
J.D. Martinez,BOS,538,2354,2082,629,119,37.20%,20.40%,0.302,0.55,0.248,91.8,12.80%,48.40%,22.70%,13.50%,8999,9,1,6184
Alex Bregman,HOU,494,2174,1814,503,96,44.00%,14.00%,0.277,0.511,0.234,89.2,6.00%,38.00%,12.70%,4.70%,8829,16,5,17678
Anthony Rendon,- - -,433,1897,1629,479,78,44.60%,12.70%,0.294,0.519,0.225,90.3,9.00%,43.70%,14.30%,5.80%,7506,9,2,12861
Jose Ramirez,CLE,540,2322,1996,539,128,47.10%,15.90%,0.27,0.545,0.275,89.3,8.40%,37.50%,12.90%,5.30%,9823,101,18,13510
Christopher Morel,CHC,13,57,49,14,2,34.30%,16.70%,0.286,0.469,0.184,92.2,5.70%,45.70%,24.60%,14.50%,235,5,2,21897
Brendan Donovan,STL,28,83,68,20,1,20.00%,9.10%,0.294,0.426,0.132,87.3,1.80%,38.20%,15.70%,6.20%,370,1,1,24679
David Freese,- - -,192,498,442,134,22,27.70%,24.20%,0.303,0.518,0.215,90.8,10.90%,46.80%,23.30%,11.00%,2019,0,0,9549
Paul Goldschmidt,- - -,581,2484,2163,625,115,39.00%,18.20%,0.289,0.514,0.225,90.9,12.10%,45.00%,22.40%,10.20%,10344,26,5,9218
Xander Bogaerts,BOS,539,2309,2039,614,95,37.10%,15.60%,0.301,0.519,0.218,90,8.80%,42.10%,18.20%,8.90%,9480,27,5,12161
Matt Holliday,COL,25,65,53,15,2,34.30%,16.70%,0.283,0.434,0.151,90.9,5.70%,48.60%,27.70%,13.60%,273,0,0,1873
Brandon Nimmo,NYM,398,1586,1300,351,44,32.60%,14.40%,0.27,0.456,0.186,89.3,5.70%,38.80%,22.80%,9.00%,6634,18,12,12927
George Springer,- - -,436,1926,1672,457,106,38.50%,21.30%,0.273,0.52,0.247,89.3,11.40%,40.40%,20.40%,11.00%,7658,19,10,12856
Vladimir Guerrero Jr.,TOR,390,1646,1453,414,81,33.40%,20.40%,0.285,0.509,0.224,92.7,11.10%,49.20%,16.50%,11.50%,6109,5,3,19611
Nelson Cruz,- - -,503,2102,1840,506,130,37.50%,25.10%,0.275,0.531,0.256,93,14.60%,50.50%,22.50%,13.90%,8231,5,1,2434
Pete Alonso,NYM,420,1787,1555,404,119,42.30%,24.40%,0.26,0.541,0.282,90.7,14.50%,44.50%,23.20%,12.10%,6817,6,0,19251
Howie Kendrick,WSN,186,630,577,186,23,30.10%,15.60%,0.322,0.516,0.194,90.8,8.40%,45.90%,15.10%,8.50%,2338,3,2,4229
Max Muncy,LAD,521,2078,1715,409,121,41.90%,23.60%,0.238,0.5,0.261,90,13.90%,43.80%,23.90%,9.40%,8882,10,2,13301
Shohei Ohtani,LAA,472,1812,1585,416,104,33.70%,28.40%,0.262,0.529,0.267,92.7,16.00%,48.80%,27.60%,13.50%,7273,62,21,19755
Nolan Arenado,- - -,562,2380,2123,602,130,45.60%,15.90%,0.284,0.533,0.249,89.2,6.90%,37.80%,15.00%,9.60%,8843,7,5,9777
Trevor Story,- - -,546,2356,2111,584,116,44.20%,17.20%,0.277,0.525,0.248,90.7,10.20%,44.10%,25.50%,12.00%,9456,91,23,12564
Lonnie Chisenhall,CLE,29,95,84,27,1,46.50%,3.00%,0.321,0.452,0.131,84.9,2.70%,30.10%,12.60%,9.40%,362,1,0,7571
Giancarlo Stanton,NYY,378,1618,1413,382,91,35.70%,26.50%,0.27,0.512,0.241,94.4,16.60%,53.00%,28.80%,13.80%,6749,6,1,4949
