#,Team,GS,IP,HR,TBF,K,K%,BB%,Pitches,Contact%,SwStr%,CStr%,CSW%,SIERA,HardHit%,HR/FB,GB/FB,LD%,GB%,FB%
1,HOU,0,245.2,16,1011,261,25.8%,9.4%,3999,72.3%,13.4%,14.8%,28.2%,3.45,38.5%,6.7%,1.05,21.9%,39.9%,38.2%
2,NYY,0,271.0,16,1112,274,24.6%,9.6%,4349,71.6%,13.2%,16.6%,29.8%,3.48,34.3%,6.9%,1.56,16.3%,51.0%,32.7%
3,DET,0,300.2,19,1245,298,23.9%,9.7%,4918,75.8%,11.2%,16.3%,27.5%,3.66,40.1%,6.3%,1.21,17.5%,45.1%,37.4%
4,BAL,0,325.2,27,1363,286,21.0%,8.2%,5298,77.5%,10.7%,17.0%,27.7%,3.71,38.3%,9.2%,1.54,21.2%,47.8%,31.0%
5,ATL,0,280.1,25,1172,330,28.2%,8.4%,4729,73.3%,13.1%,16.4%,29.6%,3.10,35.8%,8.1%,0.86,20.4%,36.9%,42.7%
6,TEX,0,302.1,31,1251,284,22.7%,9.3%,4835,74.9%,11.7%,17.0%,28.7%,3.72,38.0%,10.5%,1.29,18.6%,45.9%,35.5%
7,LAD,0,278.1,26,1148,303,26.4%,7.3%,4412,74.9%,12.2%,16.1%,28.4%,3.09,30.5%,9.8%,1.26,17.6%,46.0%,36.4%
8,TBR,0,340.2,47,1428,307,21.5%,8.1%,5496,75.9%,11.7%,16.3%,28.0%,3.79,36.0%,11.9%,1.02,18.7%,41.0%,40.3%
9,MIL,0,285.1,32,1192,298,25.0%,9.1%,4787,73.5%,11.9%,18.3%,30.2%,3.45,33.8%,11.9%,1.28,19.8%,45.1%,35.2%
10,CLE,0,253.1,32,1061,265,25.0%,10.0%,4122,74.9%,12.3%,15.2%,27.5%,3.56,39.0%,13.7%,1.30,19.6%,45.5%,34.9%
11,SDP,0,265.2,28,1092,253,23.2%,7.2%,4284,75.2%,11.3%,17.8%,29.1%,3.38,36.6%,11.3%,1.43,17.7%,48.4%,33.8%
12,STL,0,304.1,32,1274,266,20.9%,8.9%,5039,77.2%,10.7%,16.1%,26.8%,3.86,37.9%,10.7%,1.36,19.1%,46.7%,34.2%
13,NYM,0,279.0,35,1170,318,27.2%,9.4%,4679,72.8%,12.4%,17.4%,29.8%,3.29,38.7%,12.3%,1.08,18.6%,42.3%,39.1%
14,BOS,0,301.0,32,1273,313,24.6%,9.3%,4990,74.4%,12.0%,16.6%,28.5%,3.57,41.6%,10.2%,1.04,20.6%,40.6%,38.8%
15,SEA,0,263.2,39,1074,286,26.6%,7.5%,4309,72.8%,13.6%,15.5%,29.1%,3.18,36.4%,13.0%,0.84,20.1%,36.5%,43.3%
16,MIN,0,326.1,44,1372,335,24.4%,9.5%,5381,74.4%,12.4%,15.8%,28.2%,3.56,36.7%,13.8%,1.28,18.5%,45.7%,35.7%
17,PHI,0,270.0,26,1163,294,25.3%,11.1%,4701,73.1%,12.0%,16.0%,28.1%,3.72,39.1%,9.5%,1.06,21.0%,40.7%,38.3%
18,LAA,0,307.0,46,1287,288,22.4%,7.8%,4914,75.5%,11.9%,15.7%,27.6%,3.64,38.4%,13.8%,1.04,22.4%,39.5%,38.1%
19,SFG,0,307.0,30,1317,261,19.8%,7.6%,4943,77.1%,11.4%,16.1%,27.5%,3.84,37.1%,9.1%,1.31,18.9%,46.0%,35.1%
20,CHW,0,305.1,32,1312,318,24.2%,9.9%,5295,75.7%,11.2%,16.5%,27.7%,3.65,40.5%,10.6%,1.25,20.0%,44.4%,35.6%
21,MIA,0,259.1,30,1113,277,24.9%,8.6%,4439,73.9%,12.5%,16.5%,29.0%,3.43,38.0%,11.9%,1.17,23.3%,41.4%,35.3%
22,TOR,0,300.1,39,1279,285,22.3%,8.7%,4920,77.1%,10.7%,16.9%,27.6%,3.73,41.1%,12.7%,1.19,21.8%,42.5%,35.8%
23,OAK,0,283.2,27,1244,277,22.3%,11.0%,4916,75.4%,11.0%,16.7%,27.7%,4.04,35.9%,9.1%,1.17,19.6%,43.3%,37.1%
24,ARI,0,295.1,35,1278,242,18.9%,9.0%,4909,77.7%,10.8%,15.7%,26.6%,4.22,37.0%,10.0%,0.99,22.5%,38.5%,39.0%
25,WSN,0,312.0,44,1364,287,21.0%,9.4%,5372,77.6%,10.5%,15.9%,26.4%,3.95,40.0%,13.1%,1.22,19.2%,44.4%,36.4%
26,CHC,0,339.2,49,1456,387,26.6%,8.7%,5649,74.9%,11.6%,17.5%,29.2%,3.24,40.5%,15.3%,1.27,20.5%,44.5%,35.0%
27,PIT,0,329.2,38,1442,313,21.7%,10.1%,5694,75.5%,11.3%,16.0%,27.3%,3.99,36.7%,10.4%,1.10,19.7%,42.1%,38.1%
28,KCR,0,293.0,28,1301,270,20.8%,11.6%,5241,74.8%,11.5%,15.4%,26.9%,4.29,38.6%,9.1%,1.21,20.2%,43.7%,36.2%
29,COL,0,280.2,31,1217,245,20.1%,9.4%,4581,78.1%,10.4%,15.4%,25.8%,4.07,40.5%,10.2%,1.21,20.3%,43.6%,36.1%
