Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
HOU,Angel Stadium,4/7/2022,2,0,2, $42.00 , $12.00 ,93,N,1,LAA,Shohei Ohtani,,,,,,Alex Bregman,5,Yordan Alvarez,3.2,,,,,,,,,,
STL,Busch Stadium,4/7/2022,3,1,2, $31.00 , $101.00 ,50,D,1,PIT,JT Brubaker,,,,,,Tyler O'Neill,3.1,Nolan Arenado,4,,,,,,,,,Tommy Edman,9
HOU,Angel Stadium,4/8/2022,6,2,4, $119.00 , $154.00 ,93,N,2,LAA,Reid Detmers,,Jose Altuve,3.1,,,Alex Bregman,2.6,,,Aledmys Diaz,5,Kyle Tucker,3.2,Jeremy Pena,5.5,,,,
OAK,Citizens Bank Park,4/8/2022,2,2,0, $61.00 , $31.00 ,64,D,1,PHI,Aaron Nola,,,,,,,,Chad Pinder,6,Seth Brown,4.1,,,,,,,,
MIA,Oracle Park,4/8/2022,2,0,2, $(60.00), $110.00 ,69,d,1,SF,Logan Webb,,,,,,,,,,,,,,,,Jacob Stallings,9,Jazz Chisholm,9
SF,Oracle Park,4/8/2022,3,1,2, $(4.00), $136.00 ,69,d,1,MIA,Sandy Alcantara,,,,Brandon Belt,4.6,,,,,,,,,Thairo Estrada,6,,,Joey Bart,9
TEX,Rogers Centre,4/8/2022,3,1,2, $83.00 , $53.00 ,68,Dome,1,TOR,Jose Berrios,,Brad Miller,2.8,,,,,Mitch Garver,3.5,,,Adolis Garcia,5,,,,,,
TOR,Rogers Centre,4/8/2022,2,0,2, $(15.00), $15.00 ,68,Dome,1,TEX,Jon Gray,,,,,,,,Teoscar Hernandez,3.5,,,,,,,Danny Jansen,5,,
NYY,Yankee Stadium,4/8/2022,3,2,1, $116.00 , $86.00 ,59,D,1,BOS,Nathan Eovaldi,,,,,,Anthony Rizzo,4.5,Giancarlo Stanton,2.6,DJ LeMahieu,7.5,,,,,,,,
LAA,Angel Stadium,4/9/2022,2,1,1, $13.00 , $(17.00),72,N,3,HOU,Justin Verlander,,,,Mike Trout,2,,,Jared Walsh,3.3,,,,,,,,,,
PHI,Citizens Bank Park,4/9/2022,3,3,0, $87.00 , $57.00 ,54,N,2,OAK,Cole Irvin,,,,,,,,Nick Castellanos,3.2,Rhys Hoskins,2.5,Jean Segura,6,,,,,,
MIN,Target Field,4/9/2022,2,1,1, $49.00 , $19.00 ,48,D,2,SEA,Logan Gilbert,,Byron Buxton,2.4,Luiz Arraez,6.5,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/9/2022,2,2,0, $24.00 , $(6.00),54,D,2,BOS,Nick Pivetta,,,,,,Anthony Rizzo,4,Giancarlo Stanton,2.4,,,,,,,,,,
ARI,Chase Field,4/10/2022,2,0,2, $65.00 , $35.00 ,83,D,4,SDP,Blake Snell,,Cooper Hummel,5,,,,,Christian Walker,5.5,,,,,,,,,,
SD,Chase Field,4/10/2022,2,2,0, $(60.00), $60.00 ,83,D,4,ARI,Caleb Smith,,,,,,,,,,,,,,Jurickson Profar,7,Jorge Alfaro,6,,
COL,Coors Field,4/10/2022,2,1,1, $(15.00), $25.00 ,55,D,3,LAD,Julio Urias,,,,,,,,CJ Cron,3.5,,,,,Elias Diaz,6,,,,
CLE,Kauffman Stadium,4/10/2022,2,0,2, $(16.00), $34.00 ,75,D,3,KCR,Kris Bubic,,,,,,Jose Ramirez,3.4,,,,,,,,,Oscar Mercado,7,,
TEX,Rogers Centre,4/10/2022,2,1,1, $20.00 , $75.00 ,68,Dome,3,TOR,Hyun-Jin Ryu,,,,,,,,,,,,Nick Solak,7,,,Jonah Heim,7.5,,
TOR,Rogers Centre,4/10/2022,4,4,0, $68.00 , $84.00 ,68,Dome,3,TEX,Spencer Howard,,George Springer,3,,,Vladimir Guerrero Jr,2.3,,,,,Matt Chapman,4.5,,,,,Danny Jansen,3.6
MIN,Target Field,4/10/2022,6,3,3, $76.00 , $143.00 ,53,D,3,SEA,Marco Gonzales,,Byron Buxton,3.1,Carlos Correa,3.2,Jorge Polanco,4.3,,,,,,,Gary Sanchez,3.5,,,Max Kepler,4.2
ATL,Truist Park,4/10/2022,2,2,0, $(26.00), $14.00 ,68,D,4,CIN,Hunter Greene,,,,Matt Olson,2.4,,,,,,,,,,,Travis d'Arnaud,6,,
MIL,Wrigley Field,4/10/2022,2,1,1, $57.00 , $27.00 ,54,D,3,CHC,Marcus Stroman,,,,Willy Adames,5,,,,,Rowdy Tellez,4.7,,,,,,,,
LAA,Angel Stadium,4/11/2022,2,2,0, $14.00 , $26.00 ,65,N,1,MIA,Elieser Hernandez,,,,,,,,,,,,Brandon Marsh,6.4,Jo Adell,3.2,,,,
COL,Globe Life Field,4/11/2022,2,0,2, $22.00 , $(8.00),87,D,1,TEX,Taylor Hearn,,Connor Joe,3.6,,,,,CJ Cron,2.6,,,,,,,,,,
OAK,Tropicana Field,4/11/2022,4,0,4, $123.00 , $167.00 ,72,Dome,1,TBR,Luis Patino,,,,Elvis Andrus,6,,,,,Seth Brown,3.8,Chad Pinder,5.5,,,Sheldon Neuse,6.4,,
KC,Busch Stadium,4/12/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,4/12/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CLE,Great American Ball Park,4/12/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,4/12/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,PNC Park,4/12/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,4/12/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,4/12/2022,3,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,4/13/2022,2,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citizens Bank Park,4/13/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
DET,Comerica Park,4/13/2022,3,,, $(60.00), $(90.00),69,,,,,,,,,,,,,,,,,,,,,,,
