Name,Team,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%,EV,vFA (sc),vFT (sc),vFC (sc),vFS (sc),ActFast,playerid,K%+,HR/9+,FIP-,FB%+
Wily Peralta,DET,2,9,4.63,0,2,33.30%,33.30%,33.30%,89.9,96.2,,,83.6,96.2,7738,152,0,116,88
John Brebbia,SFG,1,4,1.13,0,1,33.30%,33.30%,25.00%,81.9,95.4,,,,95.4,12777,112,0,32,92
Reynaldo Lopez,CHW,2,7,0.13,0,0.5,25.00%,0.00%,42.90%,83.9,97.6,,,,97.6,16400,195,0,-1,66
J.P. Feyereisen,TBR,4,12,0.63,0,0,85.70%,28.60%,41.70%,86.7,92.4,,,,92.4,16610,189,0,13,226
Austin Davis,BOS,2,7,2.63,0,0.5,0.00%,25.00%,28.60%,84,94,,,,94,17117,130,0,65,0
Gabe Speier,KCR,2,6,2.13,0,0,60.00%,0.00%,16.70%,85,93.5,,,,93.5,17170,76,0,52,158
Brett Martin,TEX,1,5,9.13,0,3,0.00%,0.00%,0.00%,78.4,,,,,0,17369,0,0,235,0
Nabil Crismatt,SDP,3,12,3.46,0,1.33,20.00%,40.00%,33.30%,80.6,90,,,,90,17732,149,0,88,55
Scott Effross,CHC,1.1,7,3.13,0,1.5,42.90%,71.40%,0.00%,92.1,90.8,,,,90.8,18384,0,0,79,118
Clarke Schmidt,NYY,3,11,0.79,0,0.67,20.00%,40.00%,45.50%,98.3,94.6,,,,94.6,19899,207,0,16,53
Kenny Rosenberg,LAA,4.2,19,4.63,0,1.07,53.30%,26.70%,5.30%,82.7,90.3,,,,90.3,20009,24,0,114,141
Mauricio Llovera,SFG,1,3,1.13,0,0,100.00%,50.00%,33.30%,92.1,,,,,0,20080,149,0,32,276
Kyle Nelson,ARI,1,3,6.13,0,1,50.00%,50.00%,0.00%,89.1,91.4,,,,91.4,20515,0,0,152,138
Adrian Martinez,OAK,5.1,21,2.56,0,0.75,41.20%,29.40%,14.30%,85.1,,,,,0,21023,62,167,149,140
Michael Grove,LAD,3.2,19,3.94,0,1.91,38.50%,46.20%,15.80%,93.6,95.1,,,,95.1,23221,71,0,98,106
JP Sears,NYY,5,21,2.33,0,1,61.50%,14.30%,23.80%,82.1,93.7,,,,93.7,23429,68,0,69,114
Andrew Wantz,LAA,1,4,2.13,0,0,0.00%,100.00%,50.00%,106.5,93,,,,93,24933,227,0,50,0
Penn Murfee,SEA,2,8,2.63,0,1,60.00%,20.00%,25.00%,85.8,88.4,,,,88.4,25174,114,0,66,158
Andrew Heaney,LAD,15.1,63,2.15,1,0.85,41.20%,47.10%,36.50%,91.3,91.5,,,,91.5,15423,163,54,55,114
Sammy Long,SFG,10,40,3.23,1,1,48.50%,26.50%,15.00%,84.7,94.7,,,,94.7,25379,67,82,85,134
Tony Gonsolin,LAD,74,282,3.37,6,0.85,39.80%,28.30%,24.50%,88.2,93.2,,,83.4,93.2,19388,111,70,83,117
Austin Voth,BAL,5.2,23,2.24,0,1.24,23.10%,69.20%,30.40%,92.2,93.8,,90.5,,93.8,15047,108,0,56,77
Dean Kremer,BAL,21,86,3.27,1,1.24,45.50%,42.40%,16.30%,89.1,93.7,,87.5,,93.7,19350,78,30,72,123
Josh Winder,MIN,15.1,59,2.54,1,0.98,31.60%,34.20%,28.80%,89.7,94.1,,,,94.1,24606,99,39,71,107
