playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%
1157,Tommy Hunter,2 Tms,15,66,3.383720695,1,1.2,0.28571429,0.44444444,0.21212121
1246,Matt Bush,TEX,11.2,48,4.845820682,3,0.94285714,0.6,0.26923077,0.35416667
1247,Adam Ottavino,3 Tms,32,161,3.131854794,1,1.78125,0.30769231,0.31914894,0.26708075
1514,Oliver Perez,2 Tms,10.1,48,3.855385945,0,1.25806452,0.35897436,0.28205128,0.08333333
1581,Sean Doolittle,3 Tms,31,124,2.74957501,3,1.03225806,0.54666667,0.37179487,0.30645161
1890,Matt Moore,2 Tms,32.2,141,3.554243606,3,1.40816327,0.29166667,0.31632653,0.21985816
1943,Zack Greinke,2 Tms,131.1,513,3.518061495,12,0.99746193,0.26109661,0.28092784,0.18908382
1994,Ivan Nova,DET,11,51,6.645965242,2,1.63636364,0.25641026,0.33333333,0.05882353
2036,Clayton Kershaw,LAD,57.1,217,2.664990447,4,0.88953488,0.33108108,0.32885906,0.26267281
2233,Adam Wainwright,STL,181,740,3.969648218,20,1.14917127,0.31481481,0.28913444,0.19054054
2429,Corey Kluber,3 Tms,66.2,275,2.277672491,2,1.08,0.41436464,0.28415301,0.26181818
2520,Lance Lynn,2 Tms,123.1,517,3.889188607,17,1.19189189,0.4260355,0.30409357,0.25338491
2608,Jhoulys Chacin,2 Tms,49.2,216,5.069780386,5,1.34899329,0.3525641,0.29487179,0.13888889
2717,Rick Porcello,NYM,26,115,2.729881332,1,1.42307692,0.30952381,0.28235294,0.2
2859,Ross Detwiler,4 Tms,34.1,147,4.130056379,3,1.22330097,0.23469388,0.23232323,0.20408163
3096,Kenley Jansen,2 Tms,60.2,243,3.147403797,7,1.00549451,0.42857143,0.28467153,0.33744856
3132,Tony Watson,2 Tms,29,116,3.760911456,3,1,0.28205128,0.2625,0.22413793
3137,Max Scherzer,3 Tms,144,599,3.674141016,20,1.15277778,0.47513812,0.32880435,0.29382304
3184,David Price,LAD,34.2,154,3.765438196,3,1.38461538,0.28971963,0.23636364,0.19480519
3192,Will Harris,WSN,10.1,48,2.604565889,1,1.5483871,0.27586207,0.25806452,0.29166667
3200,Ervin Santana,KCR,26,116,6.477726432,7,1.57692308,0.48148148,0.39506173,0.18965517
3237,T.J. McFarland,2 Tms,33.2,133,4.410379253,6,1.18811881,0.21212121,0.33,0.20300752
3281,Joe Smith,3 Tms,17,74,3.624769771,1,1.29411765,0.49056604,0.24074074,0.17567568
3284,Anibal Sanchez,WSN,29.2,130,4.337487212,4,1.51685393,0.37894737,0.21875,0.18461538
3321,Darren O'Day,2 Tms,12,50,5.488751347,2,1.08333333,0.61538462,0.26923077,0.28
3542,Danny Duffy,KCR,20,83,4.028944818,4,1.1,0.45283019,0.33962264,0.30120482
3548,Liam Hendriks,2 Tms,57.1,216,1.874324633,7,0.73255814,0.47272727,0.32432432,0.44444444
4020,Yusmeiro Petit,OAK,39.1,150,4.80150239,6,0.88983051,0.47107438,0.25203252,0.12666667
4141,Derek Holland,2 Tms,28,112,2.676908088,1,1.10714286,0.2345679,0.32098765,0.21428571
4153,Jake Arrieta,3 Tms,71,336,6.133905137,15,1.81690141,0.28813559,0.34322034,0.16964286
4185,Rafael Dolis,TOR,23.2,108,3.476351004,1,1.56338028,0.40425532,0.26,0.33333333
4264,Mark Melancon,3 Tms,49.2,202,3.425405133,2,1.16778524,0.17880795,0.24183007,0.15841584
4301,Justin Wilson,3 Tms,20.2,87,4.578260954,3,1.25806452,0.40677966,0.29032258,0.1954023
4338,Tyler Chatwood,3 Tms,23.2,110,2.505122427,0,1.69014085,0.20967742,0.41935484,0.29090909
4676,Charlie Morton,2 Tms,139.1,580,3.657010988,17,1.10526316,0.36645963,0.3100304,0.31206897
4696,Nate Jones,3 Tms,14,70,10.46898715,7,1.92857143,0.44186047,0.46511628,0.2
