playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,Hard%,K%
1157,Tommy Hunter,2 Tms,21.2,84,2.715074981,1,0.87692308,0.31481481,0.23636364,0.26190476
1246,Matt Bush,TEX,19,84,4.814844937,5,1.31578947,0.37037037,0.34545455,0.28571429
1247,Adam Ottavino,3 Tms,76.2,317,3.957093227,9,1.21304348,0.3968254,0.21693122,0.27760252
1514,Oliver Perez,2 Tms,15.1,66,3.438945686,1,1.36956522,0.39534884,0.3255814,0.22727273
1581,Sean Doolittle,3 Tms,31.2,152,6.326622725,7,1.73684211,0.57281553,0.33653846,0.17763158
1890,Matt Moore,2 Tms,74,332,5.263777309,12,1.52702703,0.4195122,0.3254717,0.21686747
1943,Zack Greinke,2 Tms,164.1,701,4.753006378,31,1.32657201,0.39122486,0.32,0.16975749
2036,Clayton Kershaw,LAD,167.2,664,3.069728727,22,0.972167,0.32552693,0.32951945,0.29518072
2233,Adam Wainwright,STL,175,697,3.472327019,17,1.05714286,0.31300813,0.2983871,0.22094692
2391,Hector Rondon,ARI,12.1,59,7.083311682,4,1.78378378,0.4047619,0.45238095,0.18644068
2429,Corey Kluber,3 Tms,87.1,366,4.822031767,15,1.31679389,0.39920949,0.31496063,0.21038251
2520,Lance Lynn,2 Tms,133.2,541,3.464662737,17,0.99501247,0.41040462,0.3008596,0.27911275
2608,Jhoulys Chacin,2 Tms,54.1,228,4.204312411,8,1.26993865,0.36196319,0.35542169,0.20175439
2717,Rick Porcello,NYM,33,146,3.797480402,4,1.57575758,0.38461538,0.3047619,0.21232877
2859,Ross Detwiler,4 Tms,47,204,5.128344928,11,1.25531915,0.46825397,0.4047619,0.27941176
3096,Kenley Jansen,2 Tms,65.1,266,2.549004203,2,1.07142857,0.50340136,0.19727891,0.31578947
3132,Tony Watson,2 Tms,46.1,182,3.650239143,4,0.97122302,0.38235294,0.2189781,0.18131868
3137,Max Scherzer,3 Tms,152.1,582,2.524198869,18,0.84682713,0.4408284,0.31671554,0.36254296
3184,David Price,LAD,56.2,248,4.291783797,8,1.42941176,0.32386364,0.30508475,0.2016129
3192,Will Harris,WSN,13.1,66,5.736608016,3,1.8,0.34146341,0.48780488,0.24242424
3200,Ervin Santana,KCR,39.1,161,3.144610392,2,1.16949153,0.36440678,0.35,0.1863354
3237,T.J. McFarland,2 Tms,52.1,224,5.013714366,6,1.50955414,0.24324324,0.40322581,0.08482143
3240,Zack Britton,NYY,28,119,4.252919301,2,1.39285714,0.18604651,0.24418605,0.15966387
3281,Joe Smith,3 Tms,45.1,197,4.521168066,7,1.45588235,0.19047619,0.25333333,0.17258883
3284,Anibal Sanchez,WSN,23.1,115,6.877134082,7,1.84285714,0.4047619,0.4,0.16521739
3321,Darren O'Day,2 Tms,31.1,134,2.876132098,3,1.14893617,0.43529412,0.25882353,0.29104478
3542,Danny Duffy,KCR,97.1,411,4.05386815,12,1.30479452,0.44852941,0.26007326,0.23600973
3548,Liam Hendriks,2 Tms,64.2,250,2.469151836,8,0.86597938,0.46206897,0.27891156,0.364
