batter,matchup,pa,ab,h,2b,3b,hr,rbi,bb,so,ba,obp,slg,ops,sh,sf,ibb,hbp,gdp,view_pas
None,None,27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
J. Aguilar,WSN vs. MIA,8,5,2,0,0,1,1,2,1,.400,.625,1.000,1.625,0,0,0,1,0,View PAs
J. Walsh,HOU vs. LAA,12,10,4,1,0,1,3,1,2,.400,.417,.800,1.217,0,1,0,0,0,View PAs
O. Arcia,CIN vs. ATL,29,28,11,2,0,0,8,1,3,.393,.414,.464,.878,0,0,0,0,0,View PAs
T. Ward,HOU vs. LAA,12,11,5,0,1,0,1,1,1,.455,.500,.636,1.136,0,0,0,0,1,View PAs
M. Canha,TEX vs. NYM,2,1,1,0,0,1,1,1,0,1.000,1.000,4.000,5.000,0,0,0,0,0,View PAs
O. Herrera,STL vs. PHI,12,12,5,0,0,1,2,0,2,.417,.417,.667,1.083,0,0,0,0,0,View PAs
S. Brown,SEA vs. OAK,5,5,2,1,0,1,1,0,2,.400,.400,1.200,1.600,0,0,0,0,0,View PAs
D. Vogelbach,MIL vs. PIT,6,5,3,1,0,0,0,1,0,.600,.667,.800,1.467,0,0,0,0,0,View PAs
H. Castro,KCR vs. DET,12,11,5,1,0,0,1,1,0,.455,.500,.545,1.045,0,0,0,0,0,View PAs
L. Gurriel,TBR vs. TOR,2,2,1,0,0,1,1,0,1,.500,.500,2.000,2.500,0,0,0,0,0,View PAs
T. Hernandez,TBR vs. TOR,2,2,1,0,0,1,1,0,0,.500,.500,2.000,2.500,0,0,0,0,0,View PAs
M. Gonzalez,CLE vs. NYY,2,2,1,0,0,1,2,0,1,.500,.500,2.000,2.500,0,0,0,0,0,View PAs
J. Pena,LAA vs. HOU,2,2,2,1,0,0,0,0,0,1.000,1.000,1.500,2.500,0,0,0,0,0,View PAs
M. Moustakas,ATL vs. CIN,9,7,2,1,0,1,7,1,2,.286,.333,.857,1.190,0,1,0,0,0,View PAs
J. Choi,TOR vs. TBR,8,3,1,0,0,0,0,5,2,.333,.750,.333,1.083,0,0,0,0,0,View PAs
E. Hosmer,LAD vs. SDP,36,35,11,2,0,1,4,1,4,.314,.333,.457,.790,0,0,0,0,1,View PAs
L. Urias,PIT vs. MIL,4,4,3,0,0,0,1,0,0,.750,.750,.750,1.500,0,0,0,0,0,View PAs
K. Suzuki,HOU vs. LAA,8,6,3,0,0,0,1,2,1,.500,.625,.500,1.125,0,0,0,0,0,View PAs
J. Votto,ATL vs. CIN,43,35,11,1,0,0,7,7,6,.314,.419,.343,.761,0,1,1,0,0,View PAs
H. Kim,LAD vs. SDP,3,3,1,0,0,1,1,0,0,.333,.333,1.333,1.667,0,0,0,0,0,View PAs
W. Contreras,CIN vs. ATL,3,3,2,1,0,0,0,0,0,.667,.667,1.000,1.667,0,0,0,0,0,View PAs
J. Realmuto,STL vs. PHI,16,16,7,0,0,0,0,0,3,.438,.438,.438,.875,0,0,0,0,0,View PAs
F. Mejia,TOR vs. TBR,6,5,2,1,0,0,1,1,3,.400,.500,.600,1.100,0,0,0,0,0,View PAs
D. Swanson,CIN vs. ATL,9,8,3,1,0,0,1,1,3,.375,.444,.500,.944,0,0,0,0,0,View PAs
J. Sanchez,WSN vs. MIA,9,8,2,0,0,1,2,1,5,.250,.333,.625,.958,0,0,0,0,0,View PAs
Y. Hernandez,MIA vs. WSN,7,7,3,1,0,0,0,0,2,.429,.429,.571,1.000,0,0,0,0,1,View PAs
T. Grisham,LAD vs. SDP,12,11,3,0,0,1,1,1,2,.273,.333,.545,.879,0,0,0,0,0,View PAs
G. Torres,CLE vs. NYY,2,1,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000,0,0,0,0,0,View PAs
I. Kiner-Falefa,CLE vs. NYY,2,1,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000,0,0,0,0,0,View PAs
W. Castro,KCR vs. DET,12,11,3,0,0,1,2,0,1,.273,.333,.545,.879,0,0,0,1,0,View PAs
J. Iglesias,ARI vs. COL,3,3,2,0,0,0,0,0,0,.667,.667,.667,1.333,0,0,0,0,0,View PAs
M. Machado,LAD vs. SDP,29,29,8,0,0,2,6,0,6,.276,.276,.483,.759,0,0,0,0,0,View PAs
