ABR,Team,TBF,BIP,EV-OVR,LA-OVR,FB,HR,HH FB,HH HR,TBF/HR,FB%,HHFB%,80thPctEV-OVR,80thPctLA-OVR
ARI,Diamondbacks,952,688,87.77163742690058,13.956140350877194,184,23,69,20,41.391304347826086,0.26744186046511625,0.1002906976744186,100.24,36.0
ATL,Braves,932,597,86.93013468013469,14.580808080808081,160,15,74,14,62.13333333333333,0.26800670016750416,0.12395309882747069,99.3,39.0
BAL,Orioles,927,653,88.44844720496894,9.044961240310078,156,20,60,16,46.35,0.23889739663093415,0.09188361408882083,101.0,33.0
BOS,Red Sox,906,626,88.53934959349593,9.36260162601626,138,22,73,21,41.18181818181818,0.22044728434504793,0.11661341853035144,101.2,33.0
CHC,Cubs,902,587,88.11757679180887,10.453924914675769,139,30,73,25,30.066666666666666,0.23679727427597955,0.12436115843270869,101.2,33.0
CWS,White Sox,1017,678,88.290694239291,10.921713441654358,161,27,78,22,37.666666666666664,0.2374631268436578,0.11504424778761062,100.9,34.0
CIN,Reds,955,625,87.90176282051281,15.314102564102564,175,35,83,31,27.285714285714285,0.28,0.1328,100.6,40.0
CLE,Guardians,852,565,87.9725,9.030303030303031,131,28,59,24,30.428571428571427,0.23185840707964603,0.10442477876106195,100.42000000000002,33.0
COL,Rockies,970,682,88.80368731563422,10.301914580265096,170,26,78,25,37.30769230769231,0.24926686217008798,0.11436950146627566,100.9,31.0
DET,Tigers,904,608,88.16175496688741,11.928807947019868,140,12,55,10,75.33333333333333,0.23026315789473684,0.09046052631578948,101.3,34.0
HOU,Astros,821,506,87.07371541501976,11.608695652173912,122,14,46,13,58.642857142857146,0.24110671936758893,0.09090909090909091,100.6,35.0
KC,Royals,975,672,88.63397913561849,11.013412816691504,159,24,64,22,40.625,0.23660714285714285,0.09523809523809523,100.8,34.0
LAA,Angels,887,610,88.1302479338843,13.495049504950495,160,29,77,27,30.586206896551722,0.26229508196721313,0.12622950819672132,100.8,35.0
LAD,Dodgers,812,529,86.68240917782028,14.103250478011473,154,22,67,21,36.90909090909091,0.29111531190926276,0.1266540642722117,99.3,39.0
MIA,Marlins,965,638,87.72951334379906,9.835164835164836,149,29,56,26,33.275862068965516,0.2335423197492163,0.0877742946708464,100.78,32.0
MIL,Brewers,837,536,86.97906542056076,11.979439252336448,149,38,74,34,22.026315789473685,0.27798507462686567,0.13805970149253732,101.1,37.0
MIN,Twins,974,624,88.70563607085346,9.836012861736334,162,26,67,21,37.46153846153846,0.25961538461538464,0.10737179487179487,101.0,34.0
NYM,Mets,889,545,86.60661625708885,10.89056603773585,127,22,63,20,40.40909090909091,0.23302752293577983,0.11559633027522936,100.7,34.200000000000045
NYY,Yankees,922,598,86.2877966101695,10.16243654822335,132,21,51,19,43.904761904761905,0.22073578595317725,0.08528428093645485,99.42000000000002,34.0
OAK,Athletics,917,626,87.5232,12.5584,158,19,72,19,48.26315789473684,0.2523961661341853,0.11501597444089456,100.5,37.0
PHI,Phillies,947,607,87.3364238410596,12.701986754966887,149,20,67,15,47.35,0.24546952224052718,0.11037891268533773,100.5,35.0
PIT,Pirates,963,660,89.67689969604864,11.995454545454546,159,24,82,24,40.125,0.2409090909090909,0.12424242424242424,101.7,35.0
SD,Padres,822,568,88.15150442477876,10.37279151943463,132,17,50,16,48.35294117647059,0.2323943661971831,0.0880281690140845,100.22000000000001,36.0
SEA,Mariners,840,560,85.68689407540394,13.206463195691203,149,25,64,22,33.6,0.26607142857142857,0.11428571428571428,99.36000000000001,38.0
SF,Giants,890,627,86.81568,9.140575079872205,145,16,69,15,55.625,0.23125996810207336,0.11004784688995216,99.9,33.0
STL,Cardinals,903,639,88.52594339622641,11.726844583987441,177,33,87,32,27.363636363636363,0.27699530516431925,0.13615023474178403,101.0,34.80000000000001
TB,Rays,872,595,86.86705882352942,13.30420168067227,139,23,61,22,37.91304347826087,0.23361344537815126,0.10252100840336134,99.1,36.0
TEX,Rangers,922,613,89.36378737541528,10.383084577114428,157,25,73,23,36.88,0.2561174551386623,0.11908646003262642,101.4,33.0
TOR,Blue Jays,908,626,88.30832,12.0384,163,31,80,26,29.29032258064516,0.26038338658146964,0.12779552715654952,101.02000000000001,36.0
WSH,Nationals,873,594,87.33412162162162,10.466216216216216,153,21,77,20,41.57142857142857,0.25757575757575757,0.12962962962962962,99.7,35.0
