MLBID,t2,t4,t7,t11,t39,HR_hat,,,,,,,,,,,,,,,,,,,,,
677950,0.952,3.61,0.0335,96.70,88.97,0.109712774,,,,,,,,,,,,,,,,,,,,,
608348,1.014,12.94,0.0313,100.36,86.41,0.133415528,,,,,,,,,,,,,,,,,,,,,
572233,1.014,16.80,0.0884,102.78,86.41,0.332808176,,,,,,,,,,,,,,,,,,,,,
662139,0.952,15.01,0.0731,96.10,88.97,0.101339286,,,,,,,,,,,,,,,,,,,,,
656896,1.014,8.45,0.0576,100.70,86.41,0.075255534,,,,,,,,,,,,,,,,,,,,,
672695,0.952,9.33,0.0199,95.46,88.97,0.21524707,,,,,,,,,,,,,,,,,,,,,
664983,0.952,3.41,0.0246,99.20,88.97,0.090073418,,,,,,,,,,,,,,,,,,,,,
668942,0.952,12.73,0.0256,97.30,88.97,0.066874624,,,,,,,,,,,,,,,,,,,,,
606466,0.952,12.78,0.0285,105.18,88.97,0.103475725,,,,,,,,,,,,,,,,,,,,,
668939,1.169,16.63,0.0471,101.28,87.14,0.165753983,,,,,,,,,,,,,,,,,,,,,
623993,1.169,22.68,0.0632,102.16,87.14,0.080531901,,,,,,,,,,,,,,,,,,,,,
669720,1.264,10.21,0.0423,101.18,86.26,0.072971031,,,,,,,,,,,,,,,,,,,,,
656775,1.169,14.26,0.0341,97.06,87.14,0.131767725,,,,,,,,,,,,,,,,,,,,,
542583,1.264,19.29,0.0474,99.86,86.26,0.067569792,,,,,,,,,,,,,,,,,,,,,
622761,1.264,14.61,0.0333,99.38,86.26,0.09214976,,,,,,,,,,,,,,,,,,,,,
602104,1.264,7.64,0.0547,100.84,86.26,0.14534965,,,,,,,,,,,,,,,,,,,,,
455139,1.264,19.32,0.0159,100.00,86.26,0.153002878,,,,,,,,,,,,,,,,,,,,,
596059,1.169,20.91,0.0423,96.10,87.14,0.089088524,,,,,,,,,,,,,,,,,,,,,
663624,1.264,15.56,0.0608,103.64,86.26,0.156697731,,,,,,,,,,,,,,,,,,,,,
657077,0.955,3.80,0.0088,100.70,88.86,0.100032804,,,,,,,,,,,,,,,,,,,,,
666915,0.905,14.63,0.0816,101.52,85.71,0.091284126,,,,,,,,,,,,,,,,,,,,,
624414,0.905,8.46,0.0175,103.10,85.71,0.086973951,,,,,,,,,,,,,,,,,,,,,
571771,0.905,16.26,0.0784,99.84,85.71,0.115023228,,,,,,,,,,,,,,,,,,,,,
614173,0.955,19.94,0.1111,104.80,88.86,0.093506666,,,,,,,,,,,,,,,,,,,,,
502110,0.905,17.76,0.0278,103.28,85.71,0.094097706,,,,,,,,,,,,,,,,,,,,,458765
646240,0.955,6.98,0.0421,105.26,88.86,0.086647875,,,,,,,,,,,,,,,,,,,,,
624512,0.955,15.84,0.0000,95.68,88.86,0.099613053,,,,,,,,,,,,,,,,,,,,,
502054,0.905,6.14,0.0645,103.80,85.71,0.106459191,,,,,,,,,,,,,,,,,,,,,
596115,0.905,28.04,0.1154,102.10,85.71,0.106626703,,,,,,,,,,,,,,,,,,,,,
593428,0.905,7.60,0.0357,101.60,85.71,0.105163325,,,,,,,,,,,,,,,,,,,,,
663845,0.679,-20.25,0.0000,100.42,86.19,0.075307496,,,,,,,,,,,,,,,,,,,,,
666624,0.802,10.82,0.0484,103.30,88.76,0.142456496,,,,,,,,,,,,,,,,,,,,,
614177,0.802,11.33,0.0351,103.16,88.76,0.208557466,,,,,,,,,,,,,,,,,,,,,
664023,0.802,6.00,0.0274,101.82,88.76,0.146203412,,,,,,,,,,,,,,,,,,,,,
663611,0.802,-3.03,0.0000,95.88,88.76,0.111297162,,,,,,,,,,,,,,,,,,,,,
663538,0.802,12.08,0.0204,98.56,88.76,0.110983712,,,,,,,,,,,,,,,,,,,,,
542364,0.679,15.67,0.0000,98.34,86.19,0.143152741,,,,,,,,,,,,,,,,,,,,,
673548,0.802,12.73,0.0400,101.50,88.76,0.114949475,,,,,,,,,,,,,,,,,,,,,
575929,0.802,13.64,0.1067,104.00,88.76,0.085147259,,,,,,,,,,,,,,,,,,,,,
543228,0.802,4.81,0.0476,98.72,88.76,0.102369065,,,,,,,,,,,,,,,,,,,,,
546991,0.802,4.46,0.0273,94.92,91.21,0.120505054,,,,,,,,,,,,,,,,,,,,,
606157,0.802,18.50,0.0625,98.74,91.21,0.10533631,,,,,,,,,,,,,,,,,,,,,
456781,0.802,10.19,0.0192,101.46,91.21,0.266048582,,,,,,,,,,,,,,,,,,,,,
663697,0.802,15.79,0.0604,96.74,91.21,0.069124536,,,,,,,,,,,,,,,,,,,,,
571657,0.802,9.73,0.0082,99.64,91.21,0.090119642,,,,,,,,,,,,,,,,,,,,,
669222,0.802,9.89,0.0168,98.20,91.21,0.056350135,,,,,,,,,,,,,,,,,,,,,
642708,0.889,5.34,0.0118,102.50,88.64,0.08029224,,,,,,,,,,,,,,,,,,,,,
665926,0.804,11.61,0.0506,97.74,88.89,0.151645047,,,,,,,,,,,,,,,,,,,,,
595978,0.889,14.00,0.0280,97.36,88.64,0.017447691,,,,,,,,,,,,,,,,,,,,,
608070,0.804,20.94,0.0604,101.80,88.89,0.080838106,,,,,,,,,,,,,,,,,,,,,
647304,0.804,11.85,0.0678,100.80,88.89,0.115099304,,,,,,,,,,,,,,,,,,,,,
664702,0.889,9.94,0.0000,97.88,88.64,0.153221396,,,,,,,,,,,,,,,,,,,,,
660757,0.889,5.79,0.0222,106.36,88.64,0.081886867,,,,,,,,,,,,,,,,,,,,,
680911,0.889,7.88,0.0148,98.12,88.64,0.133406058,,,,,,,,,,,,,,,,,,,,,
680757,0.804,12.11,0.0094,94.52,88.89,0.187170639,,,,,,,,,,,,,,,,,,,,,
663898,1.220,5.47,0.0444,101.90,88.55,0.104949315,,,,,,,,,,,,,,,,,,,,,
661531,1.220,10.83,0.0333,98.56,88.55,0.114443731,,,,,,,,,,,,,,,,,,,,,
543068,1.220,16.01,0.0833,102.18,88.55,0.123290093,,,,,,,,,,,,,,,,,,,,,
453568,1.230,6.56,0.0000,98.78,86.32,0.073231045,,,,,,,,,,,,,,,,,,,,,
656582,1.220,12.03,0.0179,98.68,88.55,0.152316003,,,,,,,,,,,,,,,,,,,,,
553869,1.220,9.09,0.0330,101.02,88.55,0.138554255,,,,,,,,,,,,,,,,,,,,,
641658,1.220,10.74,0.0000,97.80,88.55,0.12383528,,,,,,,,,,,,,,,,,,,,,
578428,1.220,9.80,0.0161,97.30,88.55,0.078091662,,,,,,,,,,,,,,,,,,,,,
545341,1.220,10.88,0.0714,103.46,88.55,0.115896344,,,,,,,,,,,,,,,,,,,,,
641857,1.230,11.87,0.0323,102.94,86.32,0.103625952,,,,,,,,,,,,,,,,,,,,,
602074,1.220,0.97,0.0000,97.46,88.55,0.081279382,,,,,,,,,,,,,,,,,,,,,
572041,1.062,10.97,0.0042,103.66,87.76,0.120225204,,,,,,,,,,,,,,,,,,,,,
641553,1.062,12.55,0.0000,99.64,87.76,0.104133592,,,,,,,,,,,,,,,,,,,,,
683734,1.062,8.01,0.0505,104.00,87.76,0.174505666,,,,,,,,,,,,,,,,,,,,,
650391,1.062,7.97,0.0678,100.70,87.76,0.154825295,,,,,,,,,,,,,,,,,,,,,
462101,1.062,13.56,0.0239,99.88,87.76,0.086008901,,,,,,,,,,,,,,,,,,,,,
657757,0.909,15.99,0.0574,100.06,88.48,0.083482896,,,,,,,,,,,,,,,,,,,,,
547989,1.062,8.87,0.0285,104.42,87.76,0.295926697,,,,,,,,,,,,,,,,,,,,,
543281,1.062,14.12,0.0240,98.32,87.76,0.196503537,,,,,,,,,,,,,,,,,,,,,
673357,1.062,9.91,0.0386,102.24,87.76,0.125306171,,,,,,,,,,,,,,,,,,,,,
664874,1.062,22.99,0.0253,99.22,87.76,0.204210993,,,,,,,,,,,,,,,,,,,,,
518735,0.909,10.83,0.0188,99.52,88.48,0.073499882,,,,,,,,,,,,,,,,,,,,,
660162,0.909,15.76,0.0357,97.04,88.48,0.136004526,,,,,,,,,,,,,,,,,,,,,
606992,1.026,15.29,0.0526,101.94,88.12,0.138758751,,,,,,,,,,,,,,,,,,,,,
605612,1.273,6.29,0.0000,98.12,84.51,0.109283917,,,,,,,,,,,,,,,,,,,,,
595879,1.026,7.20,0.0337,101.16,88.12,0.135652158,,,,,,,,,,,,,,,,,,,,,
600869,1.026,12.83,0.0649,99.40,88.12,0.099324892,,,,,,,,,,,,,,,,,,,,,
408234,1.026,7.40,0.0000,100.94,88.12,0.075695331,,,,,,,,,,,,,,,,,,,,,
682985,1.273,-2.62,0.0000,102.64,84.51,0.143840748,,,,,,,,,,,,,,,,,,,,,
679529,1.026,11.64,0.0179,101.00,88.12,0.128945724,,,,,,,,,,,,,,,,,,,,,
571466,1.026,3.61,0.0000,95.98,88.12,0.122075462,,,,,,,,,,,,,,,,,,,,,
622682,1.026,-0.79,0.0000,100.38,88.12,0.056634083,,,,,,,,,,,,,,,,,,,,,
650489,1.026,12.19,0.0357,98.18,88.12,0.154421534,,,,,,,,,,,,,,,,,,,,,
608324,1.158,19.06,0.0290,99.90,86.04,0.036027845,,,,,,,,,,,,,,,,,,,,,
