t1,t2,t4,t7,t11,t39,hr_hat,HR_hat
0,0.92,9.626086957,0.034782609,105.4,89.63962264,0.14493176458462967,0.14493176458462967
0,0.92,17.79562044,0.04379562,98.2,89.63962264,0.11425221601976197,0.11425221601976197
0,1.07,21.96428571,0.053571429,101.8,87.87142857,0.18733081330669454,0.18733081330669454
0,1.1,17.38983051,0.084745763,100.6,88.83508772,0.18357870047349578,0.18357870047349578
0,0.92,18.95762712,0.025423729,100.34,88.53902439,0.12286898632688953,0.12286898632688953
0,0.92,15.43333333,0.041666667,99.0,88.53902439,0.10942869964864084,0.10942869964864084
0,0.89,13.41176471,0.01459854,97.9,83.08571429,0.07318500634535756,0.07318500634535756
0,0.89,8.50862069,0.034482759,98.76,83.08571429,0.07437238504709771,0.07437238504709771
0,0.89,16.44444444,0.015748031,100.2,83.08571429,0.09375666358211486,0.09375666358211486
0,0.93,8.869918699,0.032,101.08,92.48032787,0.11164231152954321,0.11164231152954321
0,1.14,7.484126984,0.063492063,102.9,81.10769231,0.12981803117185767,0.12981803117185767
0,1.1,17.81679389,0.037878788,100.1,89.74444444,0.1482066259290316,0.1482066259290316
1,1.07,21.536,0.072,99.94,86.01458333,0.16952164235331554,0.16952164235331554
0,0.93,12.16161616,0.04,103.84,89.52,0.14345401206061104,0.14345401206061104
0,0.97,11.09677419,0.016129032,98.4,83.384375,0.07716039408722589,0.07716039408722589
0,1.14,15.15151515,0.022727273,100.88,87.22033898,0.13276991726610196,0.13276991726610196
0,0.92,8.449541284,0.04587156,105.42,91.335,0.15354690412614325,0.15354690412614325
0,0.73,3.957264957,0.025423729,101.26,84.10333333,0.06711167081048293,0.06711167081048293
0,0.73,13.58461538,0.046153846,101.1,84.10333333,0.09470405731936127,0.09470405731936127
1,0.73,12.46564885,0.007633588,96.8,84.10333333,0.05724857105259564,0.05724857105259564
0,0.73,19.81372549,0.019607843,97.78,84.10333333,0.07900970630017808,0.07900970630017808
0,0.92,16.62637363,0.10989011,101.7,82.78571429,0.16291548260724756,0.16291548260724756
1,0.87,15.96330275,0.091743119,104.76,88.93283582,0.20094690838234416,0.20094690838234416
0,0.94,15.744,0.063492063,103.24,89.63962264,0.17052682808642333,0.17052682808642333
0,0.94,8.855855856,0.072072072,105.56,89.63962264,0.17269507317776028,0.17269507317776028
1,1.12,22.83478261,0.043103448,99.12,87.87142857,0.15839213328846483,0.15839213328846483
1,1.02,12.34951456,0.144230769,108.04,88.83508772,0.3282994671962972,0.3282994671962972
0,0.98,15.65079365,0.063492063,105.4,88.53902439,0.19942681484332225,0.19942681484332225
0,1.04,8.170068027,0.040268456,102.94,83.08571429,0.1148038196453162,0.1148038196453162
1,1.04,6.693069307,0.029411765,105.16,83.08571429,0.12254480866263696,0.12254480866263696
1,1.04,17.3655914,0.086021505,103.4,83.08571429,0.18714643847226442,0.18714643847226442
1,0.84,17.16260163,0.048780488,103.0,92.48032787,0.15986954766715,0.15986954766715
0,0.84,25.87096774,0.072,100.24,92.48032787,0.1856970356410142,0.1856970356410142
0,1.09,7.378378378,0.036036036,102.28,81.10769231,0.10501451625779737,0.10501451625779737
0,1.09,8.76744186,0.030769231,100.42,81.10769231,0.09357418387443277,0.09357418387443277
0,1.09,11.49606299,0.0234375,101.7,81.10769231,0.10658846756495749,0.10658846756495749
0,1.09,5.277372263,,98.3,81.10769231,,
0,1.02,10.86324786,0.025423729,100.42,89.74444444,0.11082820144471367,0.11082820144471367
0,0.8,12.56034483,0.033613445,98.6,89.52,0.08770067917646276,0.08770067917646276
0,0.8,13.84070796,0.097345133,103.78,89.52,0.1735789437051731,0.1735789437051731
1,0.87,17.38194444,0.013888889,98.24,83.384375,0.08238286250429193,0.08238286250429193
0,1.09,14.44715447,0.080645161,101.5,87.22033898,0.1693070610867246,0.1693070610867246
0,1.09,6.243902439,0.016129032,102.92,87.22033898,0.11174044077949714,0.11174044077949714
1,0.79,16.42519685,0.078740157,104.4,84.10333333,0.15683957412819982,0.15683957412819982
0,1.04,14.60784314,0.039215686,102.5,90.71071429,0.1568858575122062,0.1568858575122062
0,0.94,19.66019417,0.067307692,102.78,82.78571429,0.16008039274801342,0.16008039274801342
0,0.94,17.37837838,0.044642857,99.0,82.78571429,0.10441566623819427,0.10441566623819427
0,0.84,4.376068376,0.058823529,106.2,86.71666667,0.129532680654288,0.129532680654288
0,0.84,7.903225806,0.048,103.4,86.71666667,0.1117561092592388,0.1117561092592388
1,0.97,15.65420561,0.064814815,100.96,86.10714286,0.13827155333170332,0.13827155333170332
0,0.97,12.25,0.018348624,102.56,86.10714286,0.11423321776832754,0.11423321776832754
1,0.92,9.077586207,0.034482759,105.4,85.14745763,0.1288162520508656,0.1288162520508656
0,0.92,17.85714286,0.042857143,98.2,85.14745763,0.1029509587107238,0.1029509587107238
0,1.07,8.392,0.024,100.44,89.6328125,0.10726807484415436,0.10726807484415436
1,1.07,21.73684211,0.052631579,101.6,89.6328125,0.19025583817411823,0.19025583817411823
0,1.29,11.01587302,0.071428571,104.7,91.92653061,0.24333271979337762,0.24333271979337762
1,1.1,17.32231405,0.082644628,100.6,88.02727273,0.17822681254258238,0.17822681254258238
0,0.92,18.94166667,0.025,99.98,90.31521739,0.1244496363719624,0.1244496363719624
0,0.92,15.27419355,0.040322581,99.0,90.31521739,0.11273605331581579,0.11273605331581579
0,0.89,16.98449612,0.015384615,99.78,88.29032258,0.10377791950521137,0.10377791950521137
