Team,H/A,Date,Time,Helper,Stadium,Weather Factor,Park RHH,Park LHH,Pitcher,Pitcher H,Opponent,Opp Pitcher,Opp Throw
LAA,Home,5/27/2022,N,LAA44708,Angel Stadium,0.987,1.04,1.29,Chase Silseth,R,TOR,Alek Manoah,R
TOR,Away,5/27/2022,N,TOR44708,Angel Stadium,0.987,1.04,1.29,Alek Manoah,R,LAA,Chase Silseth,R
MIL,Away,5/27/2022,N,MIL44708,Busch Stadium,0.916,0.84,0.93,Brandon Woodruff,R,STL,Dakota Hudson,R
STL,Home,5/27/2022,N,STL44708,Busch Stadium,0.916,0.84,0.93,Dakota Hudson,R,MIL,Brandon Woodruff,R
ARI,Home,5/27/2022,N,ARI44708,Chase Field,0.983,0.87,0.97,Madison Bumgarner,L,LAD,Ryan Pepiot,R
LAD,Away,5/27/2022,N,LAD44708,Chase Field,0.983,0.87,0.97,Ryan Pepiot,R,ARI,Madison Bumgarner,L
NYM,Home,5/27/2022,N,NYM44708,Citi Field,0.9,1.07,0.98,Carlos Carrasco,R,PHI,Bailey Falter,L
PHI,Away,5/27/2022,N,PHI44708,Citi Field,0.9,1.07,0.98,Bailey Falter,L,NYM,Carlos Carrasco,R
BAL,Away,5/27/2022,N,BAL44708,Fenway Park,0.992,0.98,0.84,Kyle Bradish,R,BOS,Garrett Whitlock,R
BOS,Home,5/27/2022,N,BOS44708,Fenway Park,0.992,0.98,0.84,Garrett Whitlock,R,BAL,Kyle Bradish,R
SFG,Away,5/27/2022,N,SFG44708,Great American BP,1.001,1.3,1.36,Carlos Rodon,L,CIN,Graham Ashcraft,R
CIN,Home,5/27/2022,N,CIN44708,Great American BP,1.001,1.3,1.36,Graham Ashcraft,R,SFG,Carlos Rodon,L
OAK,Home,5/27/2022,N,OAK44708,Oakland Coliseum,0.991,0.82,0.73,Cole Irvin,L,TEX,Jon Gray,R
TEX,Away,5/27/2022,N,TEX44708,Oakland Coliseum,0.991,0.82,0.73,Jon Gray,R,OAK,Cole Irvin,L
SDP,Home,5/27/2022,N,SDP44708,Petco Park,1.035,0.98,0.92,Sean Manaea,L,PIT,Jose Quintana,L
PIT,Away,5/27/2022,N,PIT44708,Petco Park,1.035,0.98,0.92,Jose Quintana,L,SDP,Sean Manaea,L
KCR,Away,5/27/2022,N,KCR44708,Target Field,1.102,0.86,0.89,Brad Keller,R,MIN,Bailey Ober,R
MIN,Home,5/27/2022,N,MIN44708,Target Field,1.102,0.86,0.89,Bailey Ober,R,KCR,Brad Keller,R
HOU,Away,5/27/2022,N,HOU44708,T-Mobile Park,1,1.04,0.89,Justin Verlander,R,SEA,Chris Flexen,R
SEA,Home,5/27/2022,N,SEA44708,T-Mobile Park,1,1.04,0.89,Chris Flexen,R,HOU,Justin Verlander,R
TBR,Home,5/27/2022,N,TBR44708,Tropicana Field,0.995,0.91,0.96,Jeffrey Springs,L,NYY,Jameson Taillon,R
NYY,Away,5/27/2022,N,NYY44708,Tropicana Field,0.995,0.91,0.96,Jameson Taillon,R,TBR,Jeffrey Springs,L
ATL,Home,5/27/2022,N,ATL44708,Truist Park,1.064,0.94,0.92,Ian Anderson,R,MIA,Trevor Rogers,L
